$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^今度はポーズを変えてみて？　(.+?)ちゃん。$	이번은 포즈를 바꾸어 봐? $1짱.
$^本当に最高だよ、(.+?)ちゃんはっ！$	정말로 최고야, $1짱은!
$^お願い！　この通り！　どうしても(.+?)ちゃんにやって欲しいんだ！$	부탁! 이 대로! 아무래도 $1짱이 했으면 좋다!
$^僕は(.+?)ちゃんが撮りたくて撮りたくてたまらないんだ！　誰にも見せたりしないから！　どうか、どうかお願い！$	나는 $1짱이 찍고 싶어서 찍고 싶어서 견딜 수 없다! 누구에게도 보이거나 하지 않으니까! 부디부디 부탁!
$^ほ、本当かい？　ああ、ありがとう、やっぱり優しいね(.+?)ちゃんは！$	사실이야? 아아, 고마워요, 역시 상냥하다 $1짱은!
$^(.+?)ちゃん、こう、前かがみになってみてくれる？$	$1짱, 이렇게, 앞으로 구부림이 되어 봐 줄래?
$^(.+?)ちゃんは本っ当に可愛いねぇ！　これだけ可愛いと撮り甲斐あるよ～。$	$1짱은 본당연히 사랑스럽다! 이만큼 사랑스러우면 촬영 보람 있어~.
$^そうそう！　すごい、素晴らしいよ、(.+?)ちゃん！$	그렇게 자주! 굉장해, 훌륭해, $1짱!
$^僕は(.+?)ちゃんみたいに、可愛い子の写真を撮るのが趣味なんだけどね？　\1ちゃんが今までで一番だよ！$	나는 $1짱같이, 사랑스러운 아이의 사진을 찍는 것이 취미이지만 말야? $1짱이 지금까지로 제일이야!
$^可愛いなぁ。これからもっとエッチなことするのに、ポーズだけで恥ずかしがっちゃって……まだ慣れてないんだね、(.+?)ちゃん。$	사랑스러운데. 지금부터 좀 더 엣치한 일 하는데, 포즈만으로 부끄러워해 버려…… 아직 익숙해지지 않는거네, $1짱.
$^もちろん全部だよ？　(.+?)ちゃんとの思い出を、やっぱり写真だけじゃなくて動画でも残したいからね。$	물론 전부야? $1짱과의 추억을, 역시 사진 뿐이 아니고 동영상에서도 남기고 싶으니까.
$^ああ、すごい気持ちいいよ、(.+?)ちゃんっ……$	아, 굉장한 기분이 좋아, $1짱……
$^(.+?)ちゃん。そのまま、こっち見ながらして？$	$1짱. 그대로, 여기 보면서 해?
$^ああ、(.+?)ちゃんのおしゃぶり顔、すごくえっちだよ。$	아, $1짱의 빨기얼굴, 굉장히 엣치해.
$^ああ、あぁっ……ごめんよ、(.+?)ちゃんっ！　僕はね、その生意気そうな表情が大好きなんだ、たまらないよっ！$	아, 아앗…… 미안, $1짱! 나는 말야, 그 건방질 것 같은 표정을 아주 좋아한 것이다, 견딜 수 없어!
$^ごめんねぇ、(.+?)ちゃん……でも、僕のこと楽しませてくれるでしょ？$	미안해요, $1짱…… 라도, 나의 일 즐겁게 해 주겠죠?
$^ああっ、出る……(.+?)ちゃんっ！$	아, 나오는…… $1짱!
$^(.+?)ちゃん、どう？　撮られながらするのは。$	$1짱, 어때? 찍히면서 하는 것은.
$^うん、これで大丈夫。いよいよ本番だねっ、(.+?)ちゃん。$	응, 이것으로 괜찮아. 드디어 실전이구나, $1짱.
$^(.+?)ちゃんのおまんこにハメちゃうところ、しっかり撮ってあげるからね。$	$1짱의 보지에 끼워 버리는 곳, 확실히 찍어 주니까요.
$^ああ、後ろからもたまらないよ、(.+?)ちゃんっ。$	아, 뒤로부터도 견딜 수 없어, $1짱.
$^(.+?)ちゃん、そんなに気持ちいいっ？$	$1짱, 그렇게 기분이 좋은?
$^ああ、本当にいいね(.+?)ちゃんはっ。最高の気分だよっ。$	아, 정말로 좋다 $1짱은. 최고의 기분이야.
$^でも、次は(.+?)ちゃんにしてもらおうかな？$	그렇지만, 다음은 $1짱으로 해 받을까?
$^イってる顔も可愛いね、(.+?)ちゃん。$	가고 있는 얼굴도 사랑스럽다, $1짱.
$^(.+?)ちゃんはそのままでいいからね。$	$1짱은 그대로 좋으니까.
$^(.+?)ちゃんが中出しされてイくとろこ、ばっちり撮ってあげるからねっ！$	$1짱이 질내사정되어 행 개, 확실히 찍어 준다!
$^ああっ！　イくよ、(.+?)ちゃんっ！$	아앗! 가는, $1짱!
$^あぁ、あぁ……最っ高だよ、(.+?)ちゃん……$	아, 아아…… 최고야, $1짱……
$^(.+?)ちゃんのイくところ、可愛かったよ。$	$1짱의 가는 곳, 사랑스러웠어요.
$^いいねぇ。ほら(.+?)ちゃん、こっち見てピースして。$	좋다. 이봐요 $1짱, 여기 봐 피스 해.
$^そうそう！　ああ、すごい可愛いよ、(.+?)ちゃんっ。$	그렇게 자주! 아아, 굉장한 사랑스러워, $1짱.
$^実は、夜伽の依頼なんだが……君のエンパイアクラブの(.+?)ちゃんっていうのが気になってね。$	실은, 밤시중의 의뢰이지만…… 너의 엠파이어 클럽의 $1짱이라고 하는 것이 마음이 생겨.
$^(.+?)は、俺の専属である。$	$1는, 나의 전속이다.
$^お客様、申し訳ありません。(.+?)は俺の専属で……他のメイドなら。$	손님, 죄송합니다. $1는 나의 전속으로…… 다른 메이드라면.
$^いや、そういう訳にはいかないな。息子は(.+?)ちゃんじゃなきゃいけない理由があるみたいだ。$	아니, 그렇게 말할 수는 없구나. 아들은 $1짱이 아니면 안 되는 이유가 있는 것 같다.
$^夜伽の相手は私の息子だよ……どうかな(.+?)くん。息子の願いを叶えてくれないかな。$	밤시중의 상대는 나의 아들이야…… 어떨까 $1군. 아들의 소원을 실현해 주지 않을까.
$^詳しい事は教えてくれないが、どうやら(.+?)を相当に気に入っているらしい。$	자세한 일은 가르쳐 주지 않지만, 아무래도 $1를 상당히 마음에 드는 것 같다.
$^ふむ……渋るね、(.+?)くん。あまりこういう事は言いたくはないが……$	…… 꺼리네요, $1군. 그다지 이렇게 말하는 일은 말하고 싶지는 않겠지만……
$^ふむ、強情だね。どの道、(.+?)ちゃんに代えはいないからね……私は多少強引な手段を使ってでも、\1ちゃんを引き抜いてしまうかもしれないよ？$	고집이 있다. 어느 길, $1짱에게 대체 네 없으니까…… 나는 다소 강행인 수단을 사용하고서라도, $1짱을 뽑아 내 버릴지도 몰라?
$^……ねぇ、(.+?)くん。私は\1くんのクラブに対して、それぐらいの事をする貸しがあると思うんだがね。$	……저기, $1군. 나는 $1군의 클럽에 대해서, 그 정도의 일을 할 수 있는 빚이 있다고 생각한다만.
$^結局は今(.+?)を貸すか、後に\1を強引に引き抜かれるかの違いしか無い。$	결국은 지금 $1을 빌려 주는지, 뒤로 $1를 억지로 뽑아 내질까의 차이 밖에 없다.
$^(.+?)になんて言えばいいのだろう。と俺は真っ先にそう思ったが……$	$1에 뭐라고 말하면 좋을까. (와)과 나는 가장 먼저 그렇게 생각했지만……
$^それを告げた時の(.+?)の表情を想像して、少しだけ背徳的な感情を覚えてしまうのだった。$	그것을 고했을 때의 $1의 표정을 상상해, 약간 배덕적인 감정을 느껴 버리는 것이었다.
$^実は、その……(.+?)と夜伽をしたいっていう依頼が来ているんだ。$	실은, 그…… $1와 밤시중을 하고 싶다고 말하는 의뢰가 와 있다.
$^詳しい事は、彼から聞くしかないだろう。ただ、その……彼は、(.+?)に対してすごく執着があるんじゃないかな。$	자세한 일은, 그로부터 (들)물을 수 밖에 없을 것이다. 다만, 그…… 그는, $1에 대해서 굉장히 집착이 있는 것이 아닐까.
$^俺は、(.+?)と一緒にいたい。断ってしまったら、\1と一緒にいられなくなるかもしれない。$	나는, $1와 함께 있고 싶다. 거절해 버리면, $1와 함께 있을 수 없게 될지도 모른다.
$^すごく悩んだけど……俺は、(.+?)に話してみることに決めたんだ。$	굉장히 고민했지만…… 나는, $1에 이야기해 보기로 결정한 것이다.
$^……ありがとう、(.+?)。$	…… 고마워요, $1.
$^俺も、(.+?)が一番大好きだよ。$	나도, $1가 제일 정말 좋아해.
$^勿論、分かってるよ、(.+?)。$	물론, 알고 있다, $1.
$^あっ……(.+?)ちゃん、こんにちは、今日はよろしくね。$	아…… $1짱, 안녕하세요, 오늘은 잘 부탁해.
$^単刀直入に言うよ。俺は(.+?)ちゃんの事が好きなんだ。$	단도직입에 말한다. 나는 $1짱의 일을 좋아하는 것이다.
$^(.+?)ちゃん……$	$1짱……
$^ふふ……嬉しいよ、(.+?)ちゃんとこうすることができて……$	후후…… 기뻐, $1짱과 이렇게 할 수가 있어……
$^恋人だからいいでしょ？　俺の事、好きなんだよね、(.+?)……$	연인이니까 좋지요? 나의 일, 좋아하네요, $1……
$^つれないなぁ、(.+?)は……$	무정하구나, $1는……
$^どうしたの、(.+?)。$	무슨 일이야, $1.
$^膣内、気持ち良いよ、(.+?)……$	질내, 기분 좋아, $1……
$^ちゃんと言ってよ、好きでしょ、(.+?)。$	짱이라고 해요, 좋아하겠지, $1.
$^(.+?)はどうしてほしいのかな……？　\1からしてくれないと、俺はこのままゆっくりにしちゃうよ？$	$1는 어째서 가지고 싶은 것인지……? $1겨자라고 주지 않으면 나는 이대로 느리게 해 버려?
$^それで、終わらせるっていうのは、出して欲しいって事かな、(.+?)は。$	그래서, 끝낸다 라고 하는 것은, 냈으면 좋다는 일일까, $1는.
$^（……そういえばこの前の事、(.+?)から聞いていないな）$	(…… 그렇게 말하면 지난 번의 일, $1로부터 (듣)묻지 않구나)
$^依頼主の息子との夜伽……その件についての詳細を、(.+?)の口から聞いていなかった。$	의뢰주의 아들과의 밤시중…… 그 건에 대한 상세를, $1의 입으로부터 (듣)묻지 않았었다.
$^(.+?)自身、その事を話してくる様子もない。$	$1자신, 그 일을 이야기해 오는 모습도 없다.
$^……なぁ、(.+?)。この間の夜伽の件で、ちょっと聞きたい事があるんだけど……$	……, $1. 이전의 밤시중의 건으로, 조금 (듣)묻고 싶은 일이 있지만……
$^(.+?)は表情を曇らせて、話したくない……と、歯切れ悪く答えた。$	$1는 표정을 흐리게 해, 이야기하고 싶지 않은…… 과 말씨 나쁘게 대답했다.
$^力なく答える(.+?)に、俺は頭を巡らせる。$	힘 없게 대답하는 $1에, 나는 머리를 돌릴 수 있다.
$^（このままそっとしておくのも、(.+?)の為なのかもしれないな）$	(이대로 살그머니 해 두는 것도, $1이기 때문인 것일지도 모르는구나)
$^(.+?)は、彼に何をされたのかな。$	$1는, 그에게 무엇을 되었던가.
$^その質問に、(.+?)はすぐ返事ができなかった。$	그 질문에, $1는 곧 대답을 할 수 없었다.
$^(.+?)だって、いつまでも言わないでいるの、イヤなんじゃないかな。$	$1도, 언제까지나 말하지 않고 있는 것, 싫은 것이 아닐까.
$^なぜだろう……(.+?)が俺以外の男を相手にしたという事実に、奇妙な高揚感を覚えている。$	왜일까…… $1가 나 이외의 남자를 상대로 했다고 하는 사실에, 기묘한 고양감을 기억하고 있다.
$^視線を彷徨わせて、恐る恐る(.+?)が口を開く。$	시선을 방황하게 해, 흠칫흠칫 $1가 입을 연다.
$^罪悪感にまみれた声で告げる(.+?)に、俺は思わずゾクっとしたものを感じていた。$	죄악감 투성이가 된 소리로 고하는 $1에, 나는 무심코 오싹 한 것을 느끼고 있었다.
$^ただ、俺の知らないところで(.+?)が何をしていたのか、ご主人様として、恋人として、知る必要があると思う。ダメかな？$	다만, 나의 모르는 곳으로 $1가 무엇을 하고 있었는지, 주인님으로서 연인으로서 알 필요가 있다고 생각한다. 안 되는가?
$^(.+?)は顔を真っ赤にして泣きそうになる。$	$1는 얼굴을 새빨갛게 해 울 것 같게 된다.
$^大丈夫だよ。何をされたとしても、(.+?)を嫌いになる事なんてないから。$	괜찮아. 무엇을 되었다고 해도, $1를 싫어하게 되는 일 같은거 없으니까.
$^心配そうに俺を見る(.+?)を安心させるように、念を押した。$	걱정인 것 같게 나를 보는 $1을 안심시키도록(듯이), 다짐했다.
$^(.+?)は逡巡に顔を曇らせる。$	$1는 망설임에 얼굴을 흐리게 한다.
$^俺を信じてほしい、(.+?)。$	나를 믿으면 좋은, $1.
$^(.+?)をまっすぐに見つめて、俺はそう言った。$	$1를 똑바로 응시해, 나는 그렇게 말했다.
$^(.+?)は静かにご主人様、と呟く。$	$1는 조용하게 주인님, 이라고 중얼거린다.
$^それから、覚悟を決めたように(.+?)が俺を見る。$	그리고, 각오를 결정한 것처럼 $1이 나를 본다.
$^恥ずかしそうな(.+?)を見て、俺はそう提案した。$	부끄러운 것 같은 $1을 봐, 나는 그렇게 제안했다.
$^頷く(.+?)。$	수긍하는 $1.
$^それから、俺と(.+?)は二人きりになれる部屋に向かった。$	그리고, 나와 $1는 단 둘이 될 수 있는 방에 향했다.
$^(.+?)の部屋に来たのはいいものの、\1はもじもじとしているだけだった。$	$1의 방에 온 것은 좋기는 하지만, $1는 머뭇머뭇으로 하고 있을 뿐이었다.
$^(.+?)は、どうして自分の部屋で夜伽をするのかを不思議がっているようにも見える。$	$1는, 어째서 자신의 방에서 밤시중을 하는지를 불가사의가는 있도록(듯이)도 보인다.
$^そう促すが、(.+?)は座る様子を見せない。$	그렇게 재촉하지만, $1는 앉는 모습을 보이지 않는다.
$^悲しげな面持ちで、(.+?)は言葉を続ける。$	슬픈 듯한 표정으로, $1는 말을 계속한다.
$^それで……(.+?)はなんて返事をしたんだ？$	그래서…… $1는 어째서 대답을 한 것이야?
$^その時の事を思い出したのか、(.+?)は切なそうに声を震わせた。$	그 때의 일을 생각해 냈는지, $1는 안타까운 듯이 소리를 진동시켰다.
$^それは嬉しいよ。……って(.+?)、どうしたの？$	그것은 기뻐. ……라는 $1, 무슨 일이야?
$^心配になって近づいた俺に、(.+?)はキスをした。$	걱정으로 되어 가까워진 나에게, $1는 키스를 했다.
$^必死に真剣に、(.+?)はそう言った。$	필사적으로 진검에, $1는 그렇게 말했다.
$^わかってるよ、(.+?)。そこまで焦らなくても大丈夫。$	알고 있다, $1. 거기까지 초조해 하지 않아도 괜찮아.
$^(.+?)を宥めるように、優しく告げる。$	$1를 달래도록(듯이), 상냥하게 고한다.
$^だって、(.+?)は俺の恋人でメイドでしょ？　聞く権利はあると思うけど。それともやっぱり、\1は話せないような事があったのかな。$	왜냐하면, $1는 나의 연인으로 메이드겠지? (들)물을 권리는 있다고 생각하지만. 그렇지 않으면 역시, $1는 이야기할 수 없는 것 같은 일이 있었던가.
$^(.+?)の様子に少し意地になって、思わずそんな事を言ってしまう。$	$1의 모습에 조금 고집을 세워, 무심코 그런 일을 말해 버린다.
$^俺の言葉に、(.+?)が戸惑いを見せる。$	나의 말에, $1가 당황스러움을 보인다.
$^戸惑いを含んだまま、恥ずかしそうに(.+?)の声が震える。$	당황스러움을 포함한 채로, 부끄러운 듯이 $1의 소리가 떨린다.
$^(.+?)はそれを見ると、頬を赤く染めた。$	$1는 그것을 보면, 뺨을 붉게 물들였다.
$^メイドとして奉仕を断る理由は無いだろう……(.+?)は従順に、そう頷いたのだった。$	메이드로서 봉사를 거절할 이유는 없을 것이다…… $1는 온순하게, 그렇게 수긍한 것이었다.
$^でも、本当の事だよね。(.+?)はお客様のモノにフェラチオしたんでしょ？$	그렇지만, 사실이지요. $1는 손님의 것에 펠라치오 한 것이겠지?
$^直接的な単語に、(.+?)は頬を赤くする。$	직접적인 단어에, $1는 뺨을 붉게 한다.
$^(.+?)がした事、された事を想像しながら言葉で責めると、俺は妙な興奮を覚えている自分に気付いた。$	$1가 한 일, 된 일을 상상하면서 말로 꾸짖으면, 나는 묘한 흥분을 느끼고 있는 자신을 알아차렸다.
$^俺以外のモノをしゃぶって、味わったってわけか、(.+?)は。$	나 이외의 것을 빨아, 맛보았다는 것인가, $1는.
$^俺の言葉に傷ついた表情を見せながら、(.+?)が口を使う。$	나의 말에 다친 표정을 보이면서, $1가 입을 사용한다.
$^ほら、(.+?)……$	이봐요, $1……
$^俺は頬を染める(.+?)にペニスを突き出して、次の奉仕を促した。$	나는 뺨을 물들이는 $1에 페니스를 쑥 내밀어, 다음의 봉사를 재촉했다.
$^ついばむように、(.+?)の唇がペニスの先端、その亀頭に触れる。$	쪼아먹도록(듯이), $1의 입술이 페니스의 첨단, 그 귀두에 접한다.
$^(.+?)は口での奉仕を続けながらも、客を相手にした夜伽の事を思い出していく。$	$1는 입에서의 봉사를 계속하면서도, 손님을 상대로 한 밤시중의 일을 생각해 내 간다.
$^そこまで言うと、(.+?)は言葉を濁した。$	거기까지 말하면, $1는 말끝을 흐렸다.
$^(.+?)の顔が真っ赤になる。$	$1의 얼굴이 새빨갛게 된다.
$^必死になって俺のペニスに奉仕する(.+?)の様子に、内心満足する。$	필사적으로 나의 페니스에 봉사하는 $1의 모습에, 내심 만족한다.
$^(.+?)は涙目で上目遣いになりながら、いじらしく健気に、\1はそう零す。$	$1는 눈물고인 눈으로 눈을 치켜 뜨고 봄이 되면서, 애처롭고 기특하게, $1는 그렇게 흘린다.
$^(.+?)は、お客様にもこんなに熱心に喉奥で？$	$1는, 손님에게도 이렇게 열심히 목 안에서?
$^俺のペニスの先に、(.+?)の喉奥の固い感触が当たる。$	나의 페니스의 끝에, $1의 목 안의 단단한 감촉이 맞는다.
$^少しでも俺への奉仕を特別にしたいのか、(.+?)は息苦しそうにしながらも口いっぱいにペニスを咥えて奉仕をしてくる。$	조금이라도 나에게로의 봉사를 특별히 하고 싶은 것인지, $1는 가슴이 답답한 듯이 하면서도 입 가득 페니스를 물어 봉사를 해 온다.
$^それから、(.+?)は奉仕を再開した。$	그리고, $1는 봉사를 재개했다.
$^俺のペニスが(.+?)の口内に含まれ、肉棒がその舌で刺激される。$	나의 페니스가 $1의 입안에 포함되어 육봉이 그 혀로 자극된다.
$^（(.+?)の口を、俺以外の男も味わったのか……）$	($1의 입을, 나 이외의 남자도 맛보았는가……)
$^そう考えながら、俺は(.+?)の奉仕を見つめる。$	그렇게 생각하면서, 나는 $1의 봉사를 응시한다.
$^(.+?)の唾液と俺のカウパーが混じり、\1が頭を動かす度に卑猥な音が聞こえる。$	$1의 타액과 나의 쿠퍼가 섞여, $1가 머리를 움직일 때에 추잡한 소리가 들린다.
$^その反応を感じ取ってか、(.+?)が一気にスパートをかける。$	그 반응을 느낌취랄까, $1가 단번에 스퍼트를 걸친다.
$^(.+?)の口内に、容赦なく白濁液を注ぎ込む。$	$1의 입안에, 가차 없이 백탁액을 쏟는다.
$^(.+?)が、精液を飲むのは俺のだけだというなら……今ここで飲んで。$	$1가, 정액을 마시는 것은 나의 것만이라고 한다면…… 지금 여기서 마셔.
$^そのままでは飲みにくいであろう精液を、唾液と混ぜて(.+?)が嚥下する。$	그대로는 마시기 어려울 것이다 정액을, 타액과 혼합해 $1가 삼킴한다.
$^一通り飲み終わったのか、(.+?)は顔を上げて俺の方を見る。$	대충 다 마셨는지, $1는 얼굴을 올려 내 쪽을 본다.
$^熱く吐息を漏らす(.+?)の姿を見て、俺は射精の余韻に浸るも、まだペニスが萎える様子のない事に気付いた。$	뜨겁게 한숨을 흘리는 $1의 모습을 봐, 나는 사정의 여운에 잠기는 것도, 아직 페니스가 쇠약해지는 모습이 없는 것을 알아차렸다.
$^それを切なそうに俺を見上げる(.+?)を見て、ゾクっとする。$	그것을 안타까운 듯이 나를 올려보는 $1을 봐, 오싹 한다.
$^でも、(.+?)……口に出されなかったって事は、挿れられちゃったんだ？$	그렇지만, $1…… 입에 나오지 않았다라는 일은, 넣어져 버린 것이야?
$^俺の言葉に、(.+?)の身体がわずかに震える。$	나의 말에, $1의 신체가 조금 떨린다.
$^そう言って、(.+?)は口を噤む。$	그렇게 말해, $1는 입을 다문다.
$^羞恥に震えながらも、(.+?)は頬を赤く染めていた。$	수치에 떨리면서도, $1는 뺨을 붉게 물들이고 있었다.
$^(.+?)が他の男に愛撫されて秘部を濡らし、甘い声を漏らすところを想像すると、俺のペニスがより硬さを増していった。$	$1가 다른 남자에게 애무되어 비부[秘部]를 적셔, 달콤한 소리를 흘리는 곳을 상상하면, 나의 페니스가 보다 딱딱함을 늘려 갔다.
$^……(.+?)、続きをしてよ。$	……$1, 계속을 해요.
$^続きを求める俺の言葉に、(.+?)は恥ずかしがりながらも頷いたのだった。$	계속을 요구하는 나의 말에, $1는 부끄러워하면서도 수긍한 것이었다.
$^(.+?)がいやらしく股を広げると、その秘部が露わになる。$	$1가 추잡하게 가랑이를 넓히면, 그 비부[秘部]가 공공연하게 된다.
$^(.+?)の言葉を責め立てながら、俺はその秘部にペニスを押し込んだ。$	$1의 말을 몰아세우면서, 나는 그 비부[秘部]에 페니스를 밀어넣었다.
$^それを聞いて、(.+?)は黙って口を噤んだ。$	그것을 (들)물어, $1는 입다물고 입을 다물었다.
$^ねえ、(.+?)。俺とお客様、どっちが気持ち良い？$	저기, $1. 나와 손님, 어느 쪽이 기분 좋아?
$^健気にいじらしく、(.+?)が俺を見る。$	기특하게 애처롭고, $1가 나를 본다.
$^でも、(.+?)が濡れちゃうくらい、お客様は触るのも上手かったみたいだし。$	그렇지만, $1가 젖어 버릴 정도로, 손님은 손대는 것도 능숙했던 것 같고.
$^きっとセックスも上手かったんでしょ？　ねえ、(.+?)。詳しく教えてよ、お客様にどんな風にされたかをさ。$	반드시 섹스도 능숙했던 것이겠지? 저기, $1. 자세하게 가르쳐요, 손님에게 어떤 식으로 되었는지를.
$^俺の意地悪な問いに(.+?)は躊躇いながらも、どうにか口を開く。$	나의 심술궂은 물음에 $1는 주저하면서도, 어떻게든 입을 연다.
$^どうにか言葉を吐き出していくが、(.+?)は恥じらいに耐えられずにそれ以上何も言えなくなる。$	어떻게든 말하기 시작해 가지만, $1는 수줍음에 견딜 수 있지 못하고 그 이상 아무것도 말할 수 없게 된다.
$^そんな(.+?)に、俺はペニスを捻じ込み、抽送を激しくする。$	그런 $1에, 나는 페니스를 쑤셔넣어, 삽입질을 격렬하게 한다.
$^ふぅん？　その様子じゃ、(.+?)はお客様にされてイっちゃったみたいだね？　ほら、\1……$	응? 그 모습은, $1는 손님으로 되어 가 버린 것 같다? 이봐요, $1……
$^(.+?)に、お客様との続きを促す。$	$1에, 손님과의 계속을 재촉한다.
$^俺以外の男が(.+?)の中にペニスを突き入れて、この快感を貪ったのか。$	나 이외의 남자가 $1안에 페니스를 찔러 넣어, 이 쾌감을 탐냈는가.
$^蕩けるような甘い声を聞きながら、快感に顔を歪ませる(.+?)の顔を見たわけか……$	녹는 것 같은 달콤한 소리를 들으면서, 쾌감에 얼굴을 비뚤어지게 하는 $1의 얼굴을 본 것인가……
$^甘くだらしない声で、(.+?)は声を上げる。$	달콤하고 야무지지 못한 소리로, $1는 소리를 높인다.
$^ペニスを捻じ込み引き抜く度に、(.+?)の秘部からぐちゅぐちゅと卑猥な水音が鳴り響く。$	페니스를 쑤셔넣어 뽑아 낼 때에, $1의 비부[秘部]로부터 질척질척 추잡한 물소리가 울린다.
$^(.+?)とセックスをした男への嫉妬心に興奮を呷られながら、大きく膨れ上がったペニスがビクビクと脈打ち始める。$	$1와 섹스를 한 남자에게로의 질투심에 흥분을 들이켜지면서, 크게 부풀어 오른 페니스가 움찔움찔 맥박치기 시작한다.
$^そっか、俺以外のでイったんだ、(.+?)？$	그래, 나 이외의로 간 것이다, $1?
$^その様子を想像した瞬間、俺は(.+?)の最奥へと思いきりペニスを突き入れた。$	그 모습을 상상한 순간, 나는 $1의 최안쪽으로 마음껏 페니스를 찔러 넣었다.
$^そのまま、俺は(.+?)の中で射精した。$	그대로, 나는 $1중(안)에서 사정했다.
$^愛液を滴らせ、熱く潤っている(.+?)の秘部に精液を吐き出す。$	애액을 방울져 떨어지게 해 뜨겁게 촉촉한 $1의 비부[秘部]에 정액을 토해낸다.
