$^(.+?)を購入しますか\?資金\s-	$1\n을(를) 구입합니까?\n자금 -
網柄のボディストッキング。強烈なセクシャリティを纏います。すっけすけのえっろえろです。	망병의 보디 스타킹. 강렬한 sexality를 감깁니다. 돕고의 입니다.
ハートビキニ	하트 비키니
ハート型のセクシーな水着。ボディに自信がないと着こなせない。普通に局部を隠すよりもエロい。	하트형의 섹시한 수영복.\n몸매에 자신이 없으면 맵시있게 입을 수 없다.\n평범하게 국부를 숨기는것보다 에로하다.
バスタオル	배스 타월
その名の通りのバスタオル。胸の露出をしっかりカバー。温泉に入る時は外すのがマナーです。	그 이름과 같이의 목욕타올. 가슴의 노출을 확실히 커버. 온천에 들어갈 때는 제외하는 것이 매너입니다.
エロティックボンデージ	에로틱 본디지
エロティックなボンデージスーツ。肌にしっとりと纏い付きます。	에로틱한 본디지 슈트. 피부에 촉촉히 감겨 붙습니다.
キューティセパレーツ水着	큐티 세퍼레이츠 수영복
キューティなセパレート水着。もっとフリフリしたいなら、お好みのフリルスカートと一緒に。もちろんこのままでもグッドです。	귀여운 세퍼레이츠 수영복. 좀 더 살랑살랑 하고 싶으면 좋아하는 프릴 스커트와 함께. 물론 이대로도 굿입니다.
セクシーワンピース水着	섹시 원피스 수영복
セクシーなワンピース水着。大胆かつセクシーな海の主役。ビーチでジュースを飲んでそうです。	섹시한 원피스 수영복. 대담하고 섹시한 바다의 주역. 비치에서 쥬스를 마셔 그렇습니다.
踊り子ドレス	무희 드레스
踊り子のドレス。セクシーで妖艶な雰囲気が漂います。金や宝石を随所にちりばめました。	무희의 드레스. 섹시로 요염한 분위기가 감돕니다. 돈이나 보석을 여기저기에 아로 새겼습니다.
スリングショット	슬링샷
シンプルなスリングショット。いろいろとても開放的な水着です。見事なV字に注目の的、間違いなし。	심플한 슬링샷. 여러가지라고도 개방적인 수영복입니다. 훌륭한V자에 주목의 대상, 틀림없음.
バニースーツ	바니 슈트
バニーガールのスーツ。大きく開いた胸元、食い込む股間。バニーガールの醍醐味が詰まってます。かわいい尻尾もついてるぴょん！	바니걸의 슈트. 크게 벌어진 앞가슴, 먹혀드는 사타구니. 바니걸의 참된 맛이 차 있습니다. 사랑스러운 꼬리도 응!
ローライズファスナーパンツ	골반 파스너 팬티
かなりローライズなファスナーパンツ。しかし隠れるべき所は隠れています。ずり落ちないか心配で夜も眠れません。	꽤 롤러 이즈인 패스너 팬츠. 그러나 숨어야 할 곳은 숨어 있습니다. 흘러내림 없어서 걱정이어 밤에도 잘 수 없습니다.
ウェイトレスストッキング	웨이트리스 스타킹
キュートなウェイトレスストッキング。小さなフリルに小さなリボン。スカートと合わせると強力な領域が。	귀여운 웨이트리스 스타킹. 작은 프릴에 작은 리본. 스커트와 합하면 강력한 영역이.
リボン付きスクールソックス	리본달린 스쿨 삭스
学生にオススメなスクールソックス。シンプルかつ、かわいく。ワンポイントのリボン付き。	학생에게 추천인 스쿨 삭스. 심플하고 사랑스럽고. 원포인트의 리본 첨부.
スクールソックス	스쿨 삭스
学生にオススメなスクールソックス。普遍的なマストアイテム。定番中の定番。	학생에게 추천인 스쿨 삭스. 보편적인 마스트 아이템. 정평중의 정평.
ナースガーターストッキング	간호사 가터 스타킹
ナースさんのガーターストッキング。楽に履けるので長時間のお仕事向き。なぜだかエロく見えてしまう。それはきっと……恋の病でしょうね。	널스씨의 가터 스타킹. 편하게 신을 수 있으므로 장시간의 일방향. 왜일까 에로하게 보여 버린다. 그것은 반드시……연의 병이군요.
踊り子ストッキング	무희 스타킹
踊り子のストッキング。豪華な装飾と、透け具合が見事マッチ。脚を煌びやかに魅せます。	무희의 스타킹. 호화로운 장식과 틈이 날 수 있는 상태가 훌륭히 성냥. 다리를 눈부시게 매료 시킵니다.
バニー網タイツ	바니 망사 타이츠
バニーガールの網タイツ。腰まで高さがあります。バニーといえば、これも欠かせません。	바니걸의 그물 타이츠. 허리까지 높이가 있습니다. 바니라고 하면, 이것도 빠뜨릴 수 없습니다.
旧メイドストッキング	구메이드 스타킹
旧式なメイドストッキング。飾らないメイドの魅力がたっぷり。地味なことは悪いことではないのです。	구식의 메이드 스타킹. 장식하지 않는 메이드의 매력이 충분히. 수수한 것은 나쁜 것은 아닙니다.
ウェイトレスシューズ	웨이트리스 슈즈
キュートなウェイトレスシューズ。ふたつのリボンが特徴的。足の先までキュートでいましょう。	귀여운 웨이트리스 슈즈. 두 리본이 특징적. 다리의 끝까지 매력적이어 있읍시다.
ローファー	로퍼
シンプルな普通のローファー。カジュアルもオシャレもフォーマルも。これ一足で大体なんとかなります。	심플한 보통 간편화. 캐주얼도 멋을냄도 포멀도. 이것 한 걸음으로 대개 어떻게든 됩니다.
ビットローファー	비트 로퍼
金具がステキなビットローファー。制服を着て歩けば学生気分です。いろいろな正装にも合います。	쇠장식이 멋진 비트 간편화. 제복을 입고 걸으면 학생 기분입니다. 여러가지 정장에도 맞읍니다.
チャイナシューズ	차이나 슈즈
チャイナなシューズアルヨ。独特のシルエットアル。	차이나인 슈즈아르요. 독특한 실루엣 알.
チアスニーカー	치어 스니커즈
チアガールのスニーカー。体を動かすのに丁度良いです。	치어걸의 스니커즈. 몸을 움직이는데 꼭 좋습니다.
ナースサンダル	간호사 샌들
ナースさんのサンダル。長時間歩いても疲れにくそうです。コールがかかればすぐに急行します。	널스씨의 샌들. 장시간 걸어도 피곤하지 않은 것 같습니다. 콜이 걸리면 곧바로 급행합니다.
花柄花緒の下駄	꽃무늬 끈 나막신
花緒が花柄模様の下駄。涼しげで、華やかな足元になります。	끈이 꽃무늬 모양인 나막신.\n시원하고, 발밑이 화사해 집니다.
踊り子サンダル	무희 샌들
踊り子のサンダル。ステップを更に美しく、華やかに。ほんのり妖艶な空気が漂います。	무희의 샌들. 스텝을 더욱 아름답고, 화려하게. 어렴풋이 요염한 공기가 감돕니다.
バニーハイヒール	바니 하이힐
バニーガールのハイヒール。ちょっと低めのハイヒール。歩きやすくなっております。	바니걸의 하이 힐. 조금 낮은 하이 힐. 걷기 쉬워지고 있습니다.
旧メイド靴	구메이드 구두
旧式なメイド靴。機能性を通級した硬派デザイン。	구식의 메이드구두. 기능성을 통급한 강경파 디자인.
アクセサリー	악세서리
前髪	앞머리
アイマスク	마스크
耳	귀
手袋	장갑
ネックレス	목걸이
チョーカー	초커
リボン	리본
乳首	유두
腕	팔
へそ	배꼽
足首	발목
前穴	앞구멍
三日月ヘアピン	초승달 헤어핀
三日月型のヘアピン。職人が月の石を削って作りました。	초승달 모양의 헤어핀.\n장인이 달의 돌을 깎아 만들었습니다.
キュートバタフライ	큐트 버터플라이
バタフライを模した髪飾り。かわいく丸みを帯びています。	나비를 본뜬 머리장식.\n사랑스럽게 둥그런 형태입니다.
ツインハート髪飾り	트윈 하트 머리장식
二つのハーﾄがかわいい髪飾り。お菓子のようでおいしそう。	두개의 하트가 사랑스러운 머리장식.\n과자처럼 보여서 맛있어보여.
ちりめん髪飾り	크레이프 머리장식
ちりめんで出来た花の髪飾り。ステキな和のおめかしです。	크레이프로 만든 꽃의 머리장식.\n근사하게 어울리는 멋부리기 입니다.
KISSロゴアクセサリー	KISS 로고 악세서리
KISSブランド謹製髪飾り。どことなくネコっぽい形。横に長いため、扱いが難しい。非常にメタいものです。	KISS 브랜드제 머리장식.\n어딘지 모르게 고양이같은 모양. 옆으로 길어서 다루기가 어렵다. 상당히 특이한 물건입니다.
軍人用眼帯	군인용 안대
かっこいい軍人用の眼帯。ばーん！どかーん！ずどどど！任務完了であります！	멋있는 군인용 안대.\n펑! 콰앙! 투두두두! 임무 완료했습니다!
目隠しバンド	눈가리개 밴드
両目を覆い、視界を遮るバンド。やさしく目を覆いますので、長時間の着用も安心です。	두 눈을 덮어, 시야를 가리는 밴드.\n부드럽게 눈을 덮으니, 장시간 착용도 안심입니다.
クロスイヤリング	크로스 이어링
耳に着けるおしゃれなクロス。魔除けにききそうです。	귀에 다는 멋진 크로스.\n마귀를 쫓는 효과가 있다고 합니다.
ジュエルハートイヤリング	주얼 하트 이어링
綺麗な宝石の付いたハートイヤリング。耳元から高級感が溢れ出てきます。	예쁜 보석이 달린 하트 이어링.\n귓가에서 고급감이 넘쳐 나옵니다.
ウェイトレスグローブ	웨이트리스 글러브
キュートなウェイトレスグローブ。ローズの飾りが特徴的です。	귀여운 웨이트리스 글러브.\n로즈의 장식이 특징적입니다.
ポンポン	퐁퐁
チアガールが使うポンポン。もさもさふさふさです。	치어리더가 사용하는 퐁퐁. 모사모사 탐스럽습니다.
エロティックボンデージグローブ	에로틱 본디지 글러브
ボンデージ用の腕衣裳。腕だけでも色々な想像が膨らみます。	본디지용 손목 의상.\n팔만으로도 여러가지 상상이 부풀어 오릅니다.
聴診器	청진기
よ～く音を聞きたい部分に、そっとコレを押し付けましょう。お医者さんにも、ごっこ遊びにも。	소리를 자~알 듣고싶은 부분에 살짝 이것을 대봅시다. 의사선생님도, 소꿉놀이에도.
ウェイトレスネクタイ	웨이트리스 넥타이
キュートなウェイトレスネクタイ。首元のちょっとしたオシャレ。気持ちを引き締めるには少し緩め。	귀여운 웨이트리스 넥타이. 목덜미의 사소한 멋.마음을 다잡에는 조금 헐렁하다.
鉄板看板・メス豚開発中	철판간판ㆍ암퇘지 개발중
鉄板看板・メス豚	A철판간판ㆍ암퇘지
開発中のメス豚にぴったりの鉄板看板。とてもわかりやすい目安になります。	개발중인 암퇘지에게 딱 맞는 철판간판\n아주 알기쉽게 표시가 납니다.
スポーツタオル	스포츠 타월
スポーツにぴったりなタオル。暑い日や、激しい運動のお供に。しっかり汗を吸収します。	스포츠에 능한 수건. 더운 날이나 심한 운동 친구로.꼭 땀을 흡수합니다.
鉄板看板・チンポ中毒	철판간판ㆍ자지중독
チンポ中毒にぴったりの鉄板看板。入っていないと落ち着きません。	자지중독에 딱 맞는 철판간판.들어 보지 못했다고 침착하지 않습니다.
鉄板看板・公衆便所	철판간판ㆍ공중변소
公衆便所にぴったりの鉄板看板。この便所はみんなの物です。	공중변소에 딱 맞는 철판간판.\n이 변소는 모두의 것입니다.
鉄板看板・露出狂	철판간판ㆍ노출증
露出狂にぴったりの鉄板看板。お外で人に見せつけましょう。	노출증에 딱 맞는 철판간판.잘 밖에서 사람에 과시합시다.
鉄板看板・肉便器	철판간판ㆍ육변기
肉便器にぴったりの鉄板看板。たくさん出してあげてください。	육변기에 딱 맞는 철판간판.많이 내어 뿌려주세요.
カウベル付き首輪	카우벨 목걸이
牛さんの首につける首輪。ほんのり牧場の香りが……しません。	소의 목에 거는 목걸이.\n어렴풋이 목장의 향기가……나지 않습니다.
スクエアストップチョーカー	스퀘어 스톱 초커
おしゃれな四角いチョーカー。首のワンポイントおしゃれに。	세련된 사각 초커.\n목의 원 포인트를 세련되게.
バニー襟＋蝶ネクタイ	바니 칼라 + 나비 넥타이
バニーガールの襟と蝶ネクタイ。フォーマルな雰囲気を醸し出します。	바니걸의 칼라와 나비 넥타이.\n포멀한 분위기를 자아냅니다.
デジタルスクエア髪留め	디지털 스퀘어 머리끈
デジタルなイメージの四角い髪留め。なんとな～く歌もうまくなりそうです。	디지털한 이미지의 사각 머리끈.\n왠~지 노래도 능숙해질것 같습니다.
スモールリボン	스몰 리본
髪を結ぶための小さなリボン。	머리를 묶기위한 작은 리본.
スイートリボン	스위트 리본
とっても可愛いリボン。	매우 사랑스러운 리본.
十字架ニップピアス	십자가 닙 피어스
十字架を象った乳首ピアス。心が清らかに……なりません。	십자가를 본뜬 유두 피어스.\n마음이 맑게……되지 않습니다.
ジュエルピアス	주얼 피어스
綺麗な宝石の乳首ピアス。上等な代物です。	예쁜 보석의 유두 피어스.\n훌륭한 물건입니다.
指輪	반지
とても高級な指輪。指をキラリと飾ります。もちろんあのコへのプレゼントにも。ステキな愛の告白にも（仮）	아주 고급스러운 반지. 손가락을 반짝 하고 장식한다. 물론 그 애에 대한 선물에도.멋진 사랑의 고백에도(가)
ウェイトレスアームレット	웨이트리스 암릿
キュートなウェイトレスアームレット。カワイくふわっと腕を包みます。	귀여운 웨이트리스 암릿.카와 가볍게 팔을 감쌉니다.
プレートブレスレット	플레이트 브레이슬릿
おしゃれなプレートブレスレット。着ければモードなスタイルに。	세련된 플레이트 팔찌.도착하면 모드인 스타일에.
チアリストバンド	치어 리스트 밴드
チアガールのリストバンド。頑張る手首をしっかりサポート。	치어 리더의 리스트 밴드.힘내손목을 확실하게 도와.
レースアームレット	레이스 암릿
レースで出来たアームレット。お嬢様御用達ですわよ。	레이스로 된 암릿. 따님이 애용하는 것 이예요.
踊り子グローブ	무희 글러브
踊り子のグローブ。ちょっぴり透けて、なんだかセクシー。金の派手な装飾が目をひきます。	무희의 글러브.\n조금 비쳐서, 뭔가 섹시. 황금의 화려한 장식이 눈길을 끕니다.
バニーカフス	바니 커프스
バニーガールの腕に付いてるアレ。バニーには重要な要素です。	바니걸의 팔에 붙은 그것.\n바니에게는 중요한 요소입니다.
十字架ピアス	십자가 피어스
十字架を象ったへそピアス。キラッとしてかっこいいです。	십자가를 본뜬 배꼽 피어스.키라 늘씬하고 멋있습니다.
ジェムスクウェア	젬 스퀘어
綺麗な色の四角いピアス。すごくカクカクしています。	아름다운 색의 네모난 피어스.\n굉장히 반짝이고 있습니다.
シルバーアンクレット	실버 앵클릿
シルバーチェーンのアンクレット。ちょっぴりパンク気味です。	실버 체인의 앵클릿.\n살짝 펑크 느낌입니다.
ゴールドアンクレット	골드 앵클릿
ゴールドチェーンのアンクレット。ちょっぴりエレガンス。	골드 체인의 앵클릿.\n살짝 엘레강스.
リングズ	링스
複数のリングピアス。ひとつで満足出来ない方へ。	복수의 링 피어스.\n하나로 만족하지 못하신다면.
ジェムピアス	젬 피어스
綺麗な色の四角いピアス。気品すら感じられます。	아름다운 색의 네모난 귀걸이.\n기품조차 느껴집니다.
身体	신체
前髪	앞머리
後髪	뒷머리
エクステ髪	묶은머리
アホ毛	삐침머리
フルシェード	풀 쉐이드
両目がすっぽりと隠れる前髪。恥ずかしがり屋さんにピッタリです。隠れた表情がとても気になります。	두 눈이 푹 숨겨진 앞머리.\n부끄럼쟁이에게 딱 맞습니다. 숨겨진 표정이 매우 신경쓰입니다.
サラツヤ	사라츠야
少し長めのさらりとした前髪。きっちりと分けきらない所がミソです。サイドヘアーが長いのも特徴的。	약간 긴 듯한 매끈한 앞머리.\n제대로 나누지 못한 곳이 특징입니다. 옆머리가 긴 것도 특징적.
内ハネベリーショート	우치하네 배리 쇼트
内側にハネるかなり短い前髪。さわやかに可愛く決まります。	안쪽으로 튀는 상당히 짧은 앞머리.\n상쾌하고 사랑스러운 결정입니다.
ガーリースタイル	걸리 스타일
乙女にぴったりなぱっつん前髪。清潔感が増すような気がします。	소녀에게 딱인 뱅 스타일.\n청결함이 늘어난것 같은 기분이 듭니다.
シンプルショート	심플 쇼트
シンプルで短めな前髪。そしてもちろん、可愛い。シンプル故に奥が深いのです。	심플하고 짧은 앞머리.\n그리고 당연히, 사랑스럽다. 심플하기 때문에 안쪽이 깊습니다.
ベーシックショート	베이직 쇼트
ベーシックな短めの前髪。平凡な中にも可愛さアリ。	기본적인 짧은 앞머리.\n평범한 안에도 사랑스러움이 있다.
ラウンドショート	라운드 쇼트
シルエットが丸い印象の前髪。毛先はとってもチクチクですが、やはり丸い印象です。	실루엣이 둥근 인상의 앞머리.\n머리끝은 매우 뾰족뾰족합니다만, 역시 둥근 인상입니다.
キューティベーシック	큐티 베이직
二つ分けのキュートな前髪。笑顔も更にキュートに引き立てます。表情もよく見えちゃいます。	양갈래의 귀여운 앞머리.\n미소가 더욱 귀엽게 돋보입니다. 표정도 잘 보이네요.
内ハネショート	우치하네 쇼트
内側にハネたショートな前髪。綺麗目にまとまっております。	안쪽으로 튀는 짧은 앞머리.\n예쁘게 정리되어 있습니다.
ゆるーりパーマ	부드러운 파마
ゆるーくパーマのかかった前髪。ゆるく可愛くふわふわと。	부드럽게 펌이 들어간 앞머리.\n부드럽고 사랑스럽게 부풀어 오른.
カジュアルショートアシメ	캐주얼 쇼트 애시메트리
アシンメトリーな前髪。さわやかで表情もはっきり。愛らしさが増します。	비대칭인 앞머리.\n시원해서 표정도 분명하게. 사랑스러움이 늘어납니다.
カジュアルショートアシメ・R	캐주얼 쇼트 애시메트리ㆍR
ショートでアシンメトリーな前髪。さわやかで表情もはっきり。愛らしさが増します。	짧고 비대칭인 앞머리.\n시원해서 표정도 분명하게. 사랑스러움이 늘어납니다.
ハーフシェード・R	하프 쉐이드ㆍR
片目がすっぽり隠れる前髪。隠れていても、目はしっかりあります。	한쪽 눈이 푹 숨는 앞머리. 숨어 있어도, 눈은 확실히 있습니다.
ハーフアップ・R	하프 업ㆍR
片方をかきあげた前髪。活発さをイメージさせます。	다른 한쪽을 슬어 올린 앞머리. 활발함을 이미지 시킵니다.
ふっくらロング	훗쿠라 롱
ふっくらと広がる長めの後髪。ツインテールにもぴったり。	부드럽게 부풀어 넓어지는 긴 뒷머리.\n트윈테일에도 딱.
サラフワロング	사라후와 롱
さらさらふんわりな長めの後髪。サラフワしています。	보슬보슬 부드럽고 긴 뒷머리.\n사라후와 하고 있습니다.
ウェーブロング	웨이브 롱
ウェーブした長めの後髪。ゆるふわしてます。	웨이브진 긴 뒷머리.\n자연스럽고 부드러운 모습입니다.
プリンセス・バインド	프린세스ㆍ바인드
大きく編み込んだ後髪。解くと凄い長髪なのは間違いない。通称『ビッグエビフライ』	크게 땋은 뒷머리.\n풀면 굉장히 장발인 것은 틀림없다. 통칭『큰 새우 튀김』
和風ショート	일본식 쇼트
和風で短めの後髪。さっぱりしてます。	일본식의 짧은 뒷머리.\n산뜻하게 하고 있습니다.
ツインシニヨン	트윈 시뇽
シニヨンアルヨ。とってもカワイイアルネ	시뇽 있다해.\n정말로 사랑스럽다해.
サイドベリーショート	사이드 배리 쇼트
短めのツインテール。結び目が耳のすぐ上ぐらいにある。	짧은 트윈 테일.\n매듭이 귀의 조금 위쪽에 있다.
シニョン＆ロール	시뇽&롤
シニヨンにロールがついてるアルヨ。とってもキュートアルネ。	시뇽에 롤이 붙어있다해.\n정말로 귀엽다해.
二つ結び	트윈테일
可愛らしい小さな二つ結び。結び目が少し前の方にある。	사랑스럽고 조그만 매듭이 2개.\n매듭이 조금 앞쪽에 있다.
ウェーブツインテール	웨이브 트윈테일
ウェーブのかかったツインテール。ゆる～く、そして少し細め。	웨이브가 들어간 트윈 테일.\n완~만하게, 그리고 작은 갈래.
ショートロール	쇼트 롤
ショートロール・R	쇼트 롤ㆍR
短めのサイドテール。毛先がくるんとロールしてます。	짧은 사이드 테일.\n머리끝이 둥글게 말려져 있습니다.
サイドシャープ	사이드 샤프
細長いツインテール。シャープといっても、鋭くはないです。	가늘고 긴 트윈테일.\n샤프라고 해도, 날카롭지는 않습니다.
キューティサイドアップ	큐티 사이드 업
キュートで小さなサイドアップ。ちっちゃいことは良い事です。	귀엽고 조그만 사이드 업.\n조그만 것은 좋은 일입니다.
キューティサイドテール・R	큐티 사이드 테일ㆍR
キューティなサイドテール。少し幼く見えるかも？	큐티인 사이드 테일. 조금 어리게 보일지도?
ショートサイドテール・R	쇼트 사이드 테일ㆍR
少し短めなサイドテール。ショートと言ってもそれなりにある。	조금 단째인 사이드 테일. 쇼트라고 말해도 그 나름대로 있다.
キューティツインテール	큐티 트윈테일
キューティなツインテール。いつもより幼く見えるかも？	귀여운 트윈 테일.\n평소보다 어리게 보일지도?
ショートツインテール	쇼트 트윈테일
少し短めなツインテール。ショートと言ってもけっこうある。	조금 짧은 트윈 테일.\n짧다곤 해도 꽤나 풍성하다.
ショートツインロール	쇼트 트윈 롤
短めのツインロール。毛先がくるんくるんとロールしてます。	짧은 트윈 롤.\n머리끝이 동글동글하게 말려져 있습니다.
ベリーショートカーブ	배리 쇼트 커브
とても小さいアホ毛。萌えポイントアップ。	매우 작은 삐침머리.\n모에 포인트 업.
ベリーショートリバースカーブ	배리 쇼트 리버스 커브
とても小さい後ろ向きのアホ毛。萌えポイントアップ。	매우 작은 역방향 삐침머리.\n모에 포인트 업.
フロントカーブ	프론트 커브
前髪にかかるアホ毛。前髪のちょっとしたアクセントに。	앞머리에 걸치는 삐침머리.\n앞머리에 악센트를 살짝.
セット販売	세트판매
メイド服	메이드복
コスチューム	코스튬
旧メイド服	구 메이드복
旧式なメイド服。シンプルで、一周回って新しい。いわゆるヴィクトリアンタイプ。	구식의 메이드복.\n심플하고, 한바퀴 돌아서 신선하다. 이른바 빅토리안 스타일.
キュートウェイトレスセット	큐트 웨이트리스 세트
キュートなウェイトレスのセット。軽装で動きやすく、お仕事にぴったり。どんな時でもキュートでいたい！そんなコには欠かせません。	귀여운 웨이트리스 세트.\n가벼운 차림으로 움직이기 쉬워 봉사하는데 적격. 어떤때라도 귀여워야 해! 하는 아이에게는 빼놓을 수 없습니다.
スクールセーラーセット	스쿨 세일러 세트
セーラー服のセット。ゆっくり食事をとる時間が無いときは、パンを口にくわえて走り出しましょう。	세일러복 세트.\n천천히 식사할 시간이 없을 때에는 빵을 입에 물고 달려봅시다.
スクールブレザーセット	스쿨 블레이저 세트
ブレザー制服のセット。フォーマルな上着と短いスカート。溢れだす魅力は計り知れません。	블레이저 교복 세트.\n포멀한 상의와 짧은 스커트. 넘쳐나는 매력을 헤아릴 수 없습니다.
チャイナ服セット	차이나 드레스 세트
チャイナ服のセットアルヨ。功夫を嗜むのも一考アル。ホアチャ！	차이나 드레스의 세트 있다해.\n쿵푸를 배우는것도 한번 생각해보자. 얍!
チアガールセット	치어걸 세트
チアガールの衣裳セット。元気にご主人様を応援しちゃう！ファイトー！ファイトー！	치어걸의 의상 세트.\n열심히 주인님을 응원하자! 파이팅! 파이팅!
ナースセット	간호사 세트
ナースさんな衣裳セット。あのコにやさしく看護されたい。……時には厳しい看護もされたい。	간호사의 의상 세트.\n그녀에게 상냥하게 간호받고싶다. ……때로는 엄한 간호도 받고싶다.
エロティックボンデージセット	에로틱 본디지 세트
触感がたまらないボンデージセット。エロティックにメイドを染め上げます。	촉감이 끝내주는 본디지 세트.\n에로틱하게 메이드를 물들입니다.
キューティセパレーツセット	큐티 새퍼레이츠 세트
キューティなセパレーツ水着セット。リボンとフリルで女の子全開。溢れ出るキューティオーラがまぶしい。	귀여운 새퍼레이츠 수영복 세트.\n리본과 프릴로 소녀전개. 쏟아지는 귀여운 오라가 눈부시다.
ミニ浴衣セット	미니 유카타 세트
ミニでカワイイ浴衣セット。伝統的な和風マツリスタイルです。	짧고 사랑스러운 유카타 세트.\n전통적인 일본식 축제 스타일
