トロフィー取得率	트로피 취득율
プレイメイド-レベル5	플레이 메이드 - 레벨5
プレイメイドレベル5になった	플레이 메이드 레벨5가 되었다
ハーレムメイド-レベル5	하렘 메이드 - 레벨5
ハーレムメイドレベル5になった	하렘 메이드 레벨5가 되었다
お気に入りのメイド嬢	마음에든 메이드 아가씨
プレイヤーとの夜伽が50回を超えた	플레이어와 밤 시중 50회가 넘었다
バニーガール系を解放	바니걸 계열 해방
主人の寵愛	주인의 총애
プレイヤーとの夜伽が100回を超えた	플레이어와 밤 시중 100회가 넘었다
もてなし上手	접대가 능숙
客への接待回数が50回を超えた	고객 접대 횟수가 50회가 넘었다
網柄ボディストッキングを解放	망사 바디 스타킹 해방
クラブの看板メイド	클럽의 간판 메이드
客への接待回数が100回を超えた	고객 접대 횟수가 100회가 넘었다
プレイ日数が50日を超えた	플레이일수가 50일을 넘었다
ハートビキニを解放	하트 비키니 해방
プレイ日数が100日を超えた	플레이일수가 100일을 넘었다
プレイ日数が500日を超えた	플레이일수가 500일을 넘었다
KISSロゴアクセサリーを解放	KISS 로고 액세서리 해방
快楽至上主義	쾌락지상주의
メイドの淫欲が9999になった	메이드의 음욕이 9999 되었다
鉄板看板・肉便器を解放	철판간판ㆍ육변기 해방
痛みと快楽と	고통도 쾌락도
メイドのM性が9999になった	메이드의 Ｍ성향이 9999 되었다
鉄板看板・公衆便所を解放	철판간판ㆍ공중변소 해방
見せて見られて	보이고 보여져서
メイドの変態が9999になった	메이드의 변태가 9999 되었다
鉄板看板・露出狂を解放	철판간판ㆍ노출증 해방
極上の奉仕	극상의 봉사
メイドの奉仕が9999になった	메이드의 봉사가 9999 되었다
鉄板看板・チンポ中毒を解放	철판간판ㆍ자지중독 해방
鬼畜主義	귀축주의
メイドを気絶させた	메이드를 기절시켰다
鉄板看板・メス豚開発中を解放	철판간판ㆍ암퇘지 개발중 해방
VIPの秘密接待	VIP의 비밀접대
VIPからの依頼を1つこなした	VIP 의뢰 1개 해냈다
スキルマスター	스킬 마스터
何らかの夜伽スキルが★★★になった	한가지 밤 시중 스킬이 ★★★ 되었다
貴方の恋人	당신의 연인
メイドを「恋人」にした	메이드를 「연인」으로 했다
指輪を解放	반지 해방
愛と主従の関係	사랑과 주종의 관계
メイドを「愛奴」にした	메이드를 「애노」으로 했다
E・ボンデージ系を解放	에로틱 본디지 계열 해방
商売繁盛	상매번성
クラブの1日の収入が100万を超えた	클럽의 1일 수입이 100만을 넘었다
タフネス＆絶倫	터프니스&절륜
夜伽中での絶頂回数が10回を超えた	밤 시중 중의 절정 횟수가 10회를 넘었다
酒池肉林？	주지육림?
酔わせた状態で夜伽を行った	취한 상태에서 밤 시중을 했다
性感帯開発　『口』	성감대 개발『입』
性感帯の「口」が100％になった	성감대「입」이 100％ 되었다
性感帯開発　『喉』	성감대 개발『목 구멍』
性感帯の「喉」が100％になった	성감대「목 구멍」이 100％ 되었다
性感帯開発　『乳首』	성감대 개발『유두』
性感帯の「乳首」が100％になった	성감대「유두」가 100％ 되었다
性感帯開発　『クリトリス』	성감대 개발『클리토리스』
性感帯の「クリトリス」が100％にな	성감대「클리토리스」가 100％ 되었다
った	\0
ビッチな処女	처녀암캐
両穴処女で淫欲、M性、変態、奉仕が	처녀인 상태로 음욕, Ｍ성향, 변태, 봉사가
すべて9999になった	모두 9999가 되었다
ブロンズメイド	브론즈 메이드
メイドバトルで土屋よし子に勝利	메이드 배틀에서 도야 요시코에게 승리
シルバーメイド	실버 메이드
メイドバトルで宮原安祐美に勝利	메이드 배틀에서 미야하라 아유미에게 승리
ゴールドメイド	골드 메이드
メイドバトルで一之瀬桜に勝利	메이드 배틀에서 이치노세 사쿠라에게 승리
プラチナメイド	플래티넘 메이드
メイドバトルで椎名藍依に勝利	메이드 배틀에서 시이나 아이에게 승리
初めてのレンタル	처음으로 렌탈
初めてレンタルメイドを雇った	처음으로 렌탈 메이드를 고용했다
寝取らせ中毒症	네토라세 중독증
AV撮影を実行し、フリープレイでも実	AV촬영과 프리 플레이를 모두 실행했다
行した	\0
据え膳くわぬはご主人様の恥	차려 놓은 밥상도 못 먹는 것은 주인의 수치
レンタルメイド4人とHをした	렌탈 메이드 4명과 H를 했다
