$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^俺は(.+?)に耳打ちする。すると\1は耳まで真っ赤になった。$	나는 $1에 귀띔했다. 그러자 $1는 귀까지 새빨갛게 되었다.
$^はは、可愛かったよ、(.+?)……$	하하, 귀여웠어, $1……
$^……(.+?)は、本当にエッチだな……$	……$1는 정말로 야하네……
$^羞恥に染まった(.+?)の表情を見ながら、俺は面接を終えるのだった。$	수치에 물든 $1의 표정을 보면서, 나는 면접을 끝내는 것이었다.
$^(.+?)は少し、表情を変え、頬を染めながらもそう答えてくれる。$	$1는 살짝 표정을 바꾸고 뺨을 물들이면서도 그렇게 대답해 준다.
$^クールな(.+?)を見て俺は感心し、面接は終わったのだった。$	쿨한 $1를 보고 나는 감탄했고, 면접은 끝난 것이었다.
$^……じゃあ、(.+?)と仲良くなれば、見られて興奮するようになっちゃうとか？$	……그럼 $1와 친해지면, 보여지면서 흥분하게 되는 거야?
$^(.+?)は可愛いし、綺麗だよ。$	$1는 귀엽고 이쁘지.
$^そうかな？　でも(.+?)ってエムっぽいような気がするけど……$	그런가? 그래도 $1는 M 같은 느낌이 드는데……
$^ごめんごめん、怒らないで、(.+?)。$	미안, 미안. 화내지 말아 줘 $1.
$^……場合によっては、俺のおちんちんを(.+?)のおまんこで奉仕してもらう事もあるけど？$	……경우에 따라서는 내 자지를 $1의 보지로 봉사하는 경우도 있을텐데?
$^俺の大きいから、(.+?)のおまんこに入るかな？$	내 물건이 큰데 $1의 보지에 들어가려나?
$^嬉しいな、そんな視線を集める(.+?)の身体を、俺だけが好きに出来るだなんて。$	기쁘네. 그렇게 시선을 모으는 $1의 몸을 나 혼자서만 즐길 수 있게 되다니.
$^俺は(.+?)にそっと耳打ちをする。$	나는 $1에게 살짝 귀속말을 한다.
$^(.+?)は俺の言葉にさらに身体を熱くした。$	$1는 나의 말에 몸이 더욱 뜨거워졌다.
$^ふふ、流石に俺も満足したかな、可愛かったよ、(.+?)。$	후후, 역시 나도 만족했으려나… 귀여웠어 $1.
$^はは、善処するよ。(.+?)の趣味を聞けてよかったよ。$	하하, 선처할게. $1의 취미를 들어서 좋았어.
$^耳まで真っ赤になってるよ、(.+?)。$	귀까지 새빨갛게 되었어 $1.
$^(.+?)ってマゾみたいだね。$	$1는 마조 같네.
$^息が荒いよ、(.+?)。$	숨이 거칠어 $1.
$^……俺は早く(.+?)とエッチしたくなっちゃったな。どれだけエッチなのか気になっちゃったよ。$	……난 빨리 $1와 섹스를 하고 싶어졌어. 얼마나 야한 건지 신경 쓰이네.
$^俺も(.+?)が何も言えなくなるぐらい、たくさんしてあげるよ。$	나도 $1가 아무 말도 못 할 만큼 많이 해줄게.
$^緊張の色が隠せない(.+?)。$	긴장한 기색을 감출 수 없는 $1.
$^いや、思わず目を奪われたよ、(.+?)に魅了されちゃいそうだ。$	아니, 나도 모르게 시선을 빼앗겼어, $1에게 홀린 거 같아.
$^そっか、楽しみだな。(.+?)の唇、柔らかそうだから。$	그래, 기다려지네. $1의 입술 부드러울 것 같으니까.
$^……ねぇ、(.+?)ってどんなセックスするの？$	……저기, $1는 어떤 섹스를 하는 거야?
$^……すっごくエッチだよ、(.+?)。$	…… 엄청 야하네, $1.
$^変わってるね、(.+?)は……$	특이하네, $1는……
$^緊張した(.+?)を見ながら、俺は面接を終えるのだった。$	긴장한 $1를 보면서 나는 면접을 끝내는 것이었다.
$^(.+?)が着たいものとかは、俺が絶対用意する。サイズとか着心地とか、最高のものを用意するよ、それがご主人様の役目だからね。$	$1가 입고 싶은 건 내가 꼭 준비할게. 사이즈라든가 착용감이 최고인 걸로 준비할께. 그게 주인님의 역할이니까 말야.
$^ひょっとしたらお客様にされちゃう事もあるかもしれないけど……(.+?)のファーストキスの相手は、多分俺になるかな。$	어쩌면 손님과 하게 될 지도 모르지만…… $1의 퍼스트 키스 상대는 아마도 내가 되려나.
$^ほら、ご主人様の事を楽しませてよ。ご主人様は(.+?)のエッチな言葉が聞きたいなぁ。$	이봐, 주인님을 즐겁게 해 줘. 주인님은 $1의 야한 말이 듣고 싶네.
$^ふぅん、股が緩いのかもね、(.+?)は。$	흐음, 다리를 쉽게 벌릴 것 같아, $1는.
$^(.+?)ってマゾなの？$	$1는 마조인 거야?
$^……変わってるね。ふふ、エッチな格好している(.+?)にはお似合いかも知れないけど。$	……특이하네. 후후, 야한 모습을 하고 있는 $1에게는 어울릴지도 모르지만.
$^えへへって……格好と一緒で(.+?)ってエッチだよね。$	에헤헤……하고 있는 모습 처럼 $1는 야하네.
$^途中で記憶がなくなるまで、お尻でセックスしたんだね、(.+?)は……$	도중에 기억이 없어질 때까지 엉덩이로 섹스 했구나, $1는……
$^俺は(.+?)に耳打ちする。すると\1は恥ずかしそうに身を捩る。$	나는 $1에게 귓속말을 한다. 그러자 $1는 부끄러운 듯이 몸을 비비 꼰다.
$^お初にお目にかかります、ご主人様。本日よりお世話になります、(.+?)です。$	처음 뵙겠습니다, 주인님. 오늘부터 신세를 지게 되었습니다, $1입니다.
$^(.+?)は少しだけ恥ずかしそうにしながら、丁寧に頷いた。$	$1는 약간 부끄러운 듯 하면서, 정중하게 수긍했다.
$^あ、尺八ってフェラチオの事じゃないよ？　(.+?)ってばいやらしいなぁ。$	아, 퉁소는 펠라치오를 말하는게 아닌데? $1는 정말 야하네.
$^(.+?)はどうかな？　俺の隣はいつでも空いてるよ。$	$1는 어떨까?　내 옆은 언제라도 비어 있어.
$^……えっと、ひょっとして、もし(.+?)と付き合うとしたら、アダルトビデオとかエロ本とかは……$	……음, 혹시, 만약 $1와 사귀게 된다면 성인 비디오라든지 에로 책 같은 것들은……
$^俺は、(.+?)の初めてを貰えると思うと嬉しいけどね。$	나는, $1의 처음을 받을 수 있다고 생각하면 기쁘지만.
$^ちょ、ちょっと落ち着いて(.+?)。世の中にはそうじゃない人もいるからさ……$	자, 잠깐, 침착해, $1. 세상에는 그렇지 않은 사람도 있으니까 말야……
$^……いやらしくて素敵だよ、(.+?)。$	……음란해서 멋져, $1.
$^いや……エッチで素敵だよ、(.+?)。$	아니……음란하고 멋져, $1.
$^相変わらず丁寧な(.+?)を見ながら、面接を終わりにした。$	여전히 정중한 $1를 보면서 면접을 끝냈다.
$^(.+?)は物分かりがいいね？　でも、ちょっとぐらい嫌がってもいいんだよ？$	$1는 이해력이 좋네?　그래도 조금 정도는 싫어해도 괜찮다구?
$^それで、俺もおちんちんが大きくなるから……そこから先は(.+?)に考えてもらおうかな？$	그래서 나도 자지가 커져 버리니까……거기서부터는 $1에게 맡길게?
$^(.+?)に任せるよ。$	$1에 맡겨 줘.
$^……(.+?)、面接だけど、そういうアピールはいらないかな……？$	…… $1, 면접인데 그런 어필은 필요없지 않을까……?
$^(.+?)は一生懸命なのかもね、エッチな事にも。$	$1는 열심히 하네. 야한 일에도.
$^ふぅん……まぁ、俺は(.+?)のそのえっちなおっぱいに夢中になりそうだけどね。$	흐음……뭐, 나는 $1의 그 야한 가슴에 푹 빠질 거 같은데.
$^(.+?)って真面目そうだし、そういうのは段階的にしたほうがいいかなって。$	$1는 성실해 보여서, 그런 건 단계적으로 하는 편이 좋지 않을까 해서.
$^……なんか、ちょっと(.+?)の事が分かった気がするな。$	……뭔가, $1에 대해서 조금 알 수 있었던 것 같아.
$^ああ、気にしないでいいよ、(.+?)。$	아아, 신경쓰지 않아도 돼, $1.
$^……たくさんしたことあるの？　なんだかんだ言って、そんなエッチな格好をしちゃう(.+?)だもんね。$	……많이 한 적 있는 거야? 이러니 저러니해도, 그런 음란한 모습을 해버리는 $1구나.
$^(.+?)との夜伽が楽しみだな……$	$1와의 밤시중이 기다려진다……
$^まぁ、(.+?)っぽいといえばそうなのかもね……でも、可愛くてエッチでいいと思うよ。$	뭐, $1 같다고 하면 그럴지도……그래도, 귀엽고 야해서 좋다고 생각해.
$^……それなりかぁ、(.+?)ってエッチなんじゃないかな？$	……그런 대로인가, $1가 음란한 것이 아닐까?
$^(.+?)はけつまんこでのセックスにハマって、普通のセックスじゃ満足できなくなったって事だね。$	$1는 엉덩이 보지로 하는 섹스에 빠져서 보통의 섹스로는 만족할 수 없게 됐다는 거네.
$^ごくっ……すごいね、(.+?)は……$	매우 ……대단하네, $1는……
$^ふふっ……可愛いよ、(.+?)。$	후후……사랑스러워, $1.
$^ああ、すっごく興奮した……ありがとう、(.+?)。$	아아, 굉장히 흥분했다……고마워, $1.
$^えっと……初めまして、ご主人様。本日よりお世話になります……(.+?)です。$	그니까……처음 뵙겠습니다, 주인님. 오늘부터 신세를 지는…… $1입니다.
$^そんな事ないよっ！　その包容力、普通のメイドにはないものを(.+?)は持ってる！$	그런 일 없어! 그 포용력, 보통 메이드에게는 없는 것을 $1는 가지고 있다고!
$^(.+?)のおっぱい、大好きだよ。$	$1의 가슴, 정말 좋아해.
$^まぁ、(.+?)の初めては俺が貰うけどね。$	아무튼 , $1의 처음은 내가 받는 것이야.
$^ニコニコと朗らかな(.+?)を見ながら、面接を終わりにした。$	싱글벙글 명랑한 $1를 보면서, 면접을 끝냈다.
$^ふふ、ナイスツッコミだね、(.+?)。$	후후, 나이스 츳코미다, $1.
$^(.+?)はけつまんこでのセックスにハマって、普通のセックスに興味なくなっちゃったんだ。$	$1은 엉덩이 보지에서의 섹스에 빠져, 보통 섹스에 흥미없게 되어버렸어.
$^(.+?)、ちょっと聞いてくれない？$	$1, 잠깐 들어주지 않을래?
$^ふうん、じゃあ(.+?)が思いつかないようなエッチな場所にタトゥーを入れたり……。$	흠, 그럼 $1가 생각하지 못한 것 같은 야한 곳에 문신을 하거나…….
$^でも、(.+?)だってオシャレだって……。$	그래도, $1도 멋진데…….
$^そっか……せっかく(.+?)は俺の物だって分かるようなタトゥーにしようと思ったんだけどな……。$	그래…… 모처럼 $1는 내꺼라고 알 수 있게 할만한 문신을 하려고 했는데…….
$^それにしても……すごく似合っているよね、(.+?)……。あ、そうだ！$	그나저나…… 되게 잘 어울리네, $1……. 아, 맞다!
$^ははは、いいじゃないか……あ、(.+?)、手、気をつけてっ！$	하하하, 괜찮지 않을까…… 아, $1, 손, 조심해!
$^悔しそうな表情を浮かべた後、勤めて平静を装いつつ、(.+?)は本の音読を始める……。$	분한 듯한 표정을 했지만, 그 뒤 아무렇지 않은 척 하면서 $1는 책을 소리내어 읽기 시작한다…….
$^ねぇ、(.+?)。$	저기, $1.
$^俺の言葉に、動揺したのか(.+?)の手元が狂う。$	내 말에 동요했는지 $1의 손놀림이 흐트러진다.
$^今みたいな格好の(.+?)に、色々な花を飾り付けてさ……、うん、すごく見ごたえありそう。$	지금 같은 모습의 $1에, 다양한 꽃을 장식해 말야……, 응, 굉장히 보고 서로 참을 것 같다.
$^それはそうかも。ということで、(.+?)に花を飾ってみたいなぁ……。$	그것은 그럴지도. 라는 것으로, $1에 꽃을 장식해 보고 싶은…….
$^だって、(.+?)は可愛いし綺麗だろ、花も可愛いし綺麗だから、それが合わされば……。$	왜냐하면, $1는 사랑스럽고 예쁠 것이다, 꽃도 사랑스럽고 예쁘기 때문에, 그것이 합쳐지면…….
$^エッチの時ってさ、シャワー浴びるよね。(.+?)は化粧を落とす？　落とさない？　どっち派？$	엣치때란 말야, 샤워 받네요. $1는 화장을 떨어뜨려? 떨어뜨리지 않아? 어느 쪽파?
$^いや、(.+?)の事を知りたくて。で、どうなの？$	아니, $1의 일을 알고 싶어서. 그래서, 어때?
$^(.+?)の肌をエステ担当の女性が触っている。$	$1의 피부를 에스테틱 담당의 여성이 손대고 있다.
$^しかし、そのせいでせっかくの(.+?)のあられもない格好を鑑賞できない……。$	그러나, 그 탓으로 모처럼의$1의 단정치 못한 모습을 감상 할 수 없다…….
$^(.+?)を気持ちよくさせればいいんだろう？　それなら――。$	$1를 기분 좋게 시키면 좋을 것이다? 그렇다면―.
$^だって(.+?)、いつも俺の手を喜んでくれてるじゃないか。$	왜냐하면$1, 언제나 나의 수를 기뻐해 주고 있지 않은가.
$^この前だって、(.+?)は夜伽の時、とっても可愛かった――$	일전에도, $1는 밤시중때, 매우 사랑스러웠다―
$^ははは、冗談だよ。うん、(.+?)をからかったら、少し退屈が紛れたかな。$	하하하, 농담이야. 응, $1를 조롱하면, 조금 지루함이 잊혀졌을까나.
$^きわどい格好のまま、洗濯物を畳む(.+?)。$	아슬아슬한 모습인 채, 세탁물을 접는 $1.
$^手が止まってるよ、(.+?)。早く終わらせた方がいいんじゃない？$	손이 멈추고 있다, $1. 빨리 끝내는 것이 좋은 것이 아니야?
$^(.+?)をからかうのは、本当に楽しいなぁ。$	$1를 놀리는건, 정말로 즐거운데.
$^俺の目の前では、エッチな衣装を身に付けた(.+?)が、模様替えのお仕事をしている。$	나의 눈앞에서는, 엣치한 의상을 몸에 걸친 $1이, 재배치의 일을 하고 있다.
$^彼女が動く度、(.+?)の恥ずかしい部分がちらちらと見えて俺の目を楽しませていた。$	그녀가 움직일 때, $1의 부끄러운 부분이 힐끔힐끔 보여 나의 눈을 즐겁게 하고 있었다.
$^他のお客様に見られちゃうねぇ……それを恥らう(.+?)も見てみたいな……どうしようかなぁ？$	다른 고객에게 보여져 버리네요…… 그것을 부끄러워하는 $1도 보고 싶다…… 어떻게 할까나?
$^あれ？　(.+?)、何してるの？$	어? $1, 뭐 하고 있는 거야?
$^大丈夫。(.+?)なら、きっとすぐ出来るようになるよ。$	괜찮아. $1라면, 반드시 금방 할 수 있게 된다.
$^ふーん……でも、裁縫する(.+?)も可愛いと思うよ。$	흐응…… 에서도, 재봉 하는 $1도 사랑스럽다고 생각한다.
$^(.+?)、調子はどう？$	$1, 상태는 어때?
$^楽しみだな、(.+?)の刺繍。$	기다려진다, $1의 자수.
$^(.+?)、裁縫してるの？$	$1, 재봉 하고 있는 거야?
$^ねぇ、(.+?)。指、ちょっと赤くなってない？$	저기, $1. 손가락, 조금 붉어졌지 않아?
$^(.+?)に痕が残ったりしたら俺が嫌だから。これは命令。$	$1에 자국이 남거나 하면 내가 싫기 때문에. 이것은 명령.
$^うん、(.+?)の気持ちは嬉しかったよ。$	응, $1의 기분은 기뻤어요.
$^でも俺には裁縫より(.+?)のほうが大事だから。$	그렇지만 나에게는 재봉보다 $1쪽이 큰 일이니까.
$^(.+?)はどう？　裁縫楽しい？$	$1는 어때? 재봉 즐거워?
$^そういえばあのエプロン……(.+?)が作ったの？$	그렇게 말하면 그 에이프런…… $1가 만들었어?
$^たしかに、どうせなら俺も(.+?)の手縫いのが嬉しいかな。$	분명히, 어차피라면 나도 $1의 손바느질의 것이 기쁠까.
$^あれ、どうしたの？　(.+?)。$	저것, 무슨 일이야? $1.
$^きっと(.+?)なら可愛いのが作れるよ。$	반드시 $1라면 사랑스러운 것이 만들 수 있다.
$^はは、大丈夫。(.+?)が作ってくれるものなら、何でも嬉しいよ。$	는은, 괜찮아. $1가 만들어 주는 것이라면, 뭐든지 기뻐.
$^やぁ、(.+?)。裁縫してるの？$	여, $1. 바느질 하는거야?
$^花より(.+?)のほうが綺麗だからね。$	꽃보다 $1쪽이 예쁘니까.
$^うんうん。特に、(.+?)は指まで綺麗だからね。$	응응. 특히, $1는 손가락까지 예쁘니까.
$^そこも(.+?)にお任せするよ。$	거기도 $1에 맡긴다.
$^あれ？　(.+?)、料理してるの？$	어? $1, 요리하고 있는 거야?
$^せっかくだから、料理してる(.+?)を見学させてよ。$	모처럼이니까, 요리하고 있는 $1을 견학시켜요.
$^いいよ、全然。(.+?)は料理得意なの？$	좋아, 전혀. $1는 요리 자신있어?
$^悪くなんてないよ。偉いんだね、(.+?)は。$	나쁘고 같은거 없어. 훌륭하네,$1는.
$^でもそれが嫌だから、(.+?)は練習してるんでしょ？$	그렇지만 그것이 싫기 때문에,$1는 연습하고 있는거죠?
$^そんなことないと思うけどなぁ。(.+?)が作ったものだからかな？$	그렇지 않다고 생각하지만. $1가 만든 것이니까일까?
$^(.+?)、今日のご飯は何かな？$	$1, 오늘의 밥은 무엇이지?
$^いや、(.+?)がどんなものを作るのか、興味があってさ。$	아니, $1가 어떤 것을 만드는지, 흥미가 있어 말야.
$^(.+?)、最近料理が上手くなって来たんじゃない？$	$1, 최근 요리가 능숙해져 왔지 않아?
$^よくわからないけど、(.+?)が必要なら全然構わないよ。$	잘 모르지만, $1가 필요하면 전혀 상관없어.
$^うーん、(.+?)が作ってくれたものならなんでも、かな。$	응,$1가 만들어 준 것이라면 뭐든지, 일까.
$^(.+?)は料理、得意じゃないの？$	$1는 요리, 자신없는거야?
$^(.+?)、料理してたんだ。$	$1, 요리하고 있었던 것이다.
$^ねぇ、(.+?)って和食と洋食のどっちが好き？$	응, $1는 일식과 양식의 어느 쪽을 좋아해?
$^最近、(.+?)の料理は何を食べても美味しいから、楽しみだな。$	최근, $1의 요리는 무엇을 먹어도 맛있기 때문에, 기다려진다.
$^あれ、(.+?)。料理してるの？$	어라, $1. 요리하고 있는 거야?
$^それに(.+?)の料理なら、いっぱい、色んなものを食べたいしね。$	게다가 $1의 요리라면, 가득, 여러 가지 것을 먹고 싶기도 하고.
$^(.+?)が気になってさ。ちょっと見学してもいいかな？$	$1가 신경이 쓰여 말야. 조금 견학해도 될까?
$^いいんだよ。(.+?)を眺めてるだけで、楽しいから。$	좋아. $1를 바라보고 있는 것만으로, 즐거우니까.
$^ごめんごめん。でもこれ美味しいよ、(.+?)。$	미안 미안. 그렇지만 이것 맛있어, $1.
$^はは、大げさだな(.+?)は。$	하하, 과장이 심하구나 $1는.
$^本当に(.+?)は気がきいて……可愛いなぁ。$	정말로 $1는 기분이 (들)물어…… 사랑스럽구나.
