身長	신　장
スポーツ日焼けあと・ライトホワイト	스포츠웨어 자국ㆍ라이트 화이트
通常肌・ライトダーク	통상피부ㆍ라이트 다크
スク水あと・ライトダーク	학교수영복 자국ㆍ라이트 다크
スリングショットあと・ライトダーク	슬링샷 자국ㆍ라이트 다크
ハートビキニあと・ライトダーク	하트 비키니 자국ㆍ라이트 다크
ビキニあと・ライトダーク	비키니 자국ㆍ라이트 다크
マイクロビキニあと・ライトダーク	마이크로 비키니 자국ㆍ라이트 다크
スポーツ日焼けあと・ライトダーク	스포츠웨어 자국ㆍ라이트 다크
お好みの肌の色に。	좋아하는 피부색으로.
お好みのスク水あと付き肌に。	좋아하는 학교수영복 자국이 남은 피부로.
お好みのスリングショットあと付き肌に。	좋아하는 슬링샷 자국이 남은 피부로.
お好みのハートビキニあと付き肌に。	좋아하는 하트 비키니 자국이 남은 피부로.
お好みのビキニあと付き肌に。	좋아하는 비키니 자국이 남은 피부로.
お好みのマイクロビキニあと付き肌に。	좋아하는 마이크로 비키니 자국이 남은 피부로.
お好みのスポーツ日焼けあと付き肌に。	좋아하는 스포츠웨어 자국이 남은 피부로.
迷ったらこれ。	헤맨다면 이걸로.
くっきりあとが見える小麦色の肌です。	뚜렷한 자국이 보이는 연갈색 피부입니다.
透き通るように白い肌です。	투명하도록 흰 피부입니다.
健康的な小麦色の肌です。	건강한 밝은 갈색의 피부입니다.
乳首の色を変えられます。	유두의 색을 바꿀 수 있습니다.
ナチュラルピンク	내츄럴 핑크
淡いピンク色です。	희미한 핑크색입니다.
お好きな色に変更できます。	좋아하는 색으로 변경할 수 있습니다.
服装	복장
衣装	의상
帽子	모자
ヘッドドレス	헤드드레스
トップス	상의
ボトムス	하의
ワンピース	원피스
水着	수영복
ブラジャー	브래지어
パンツ	팬티
パンティー	팬티
靴下	양말
靴	신발
アクセサリ	악세서리
メガネ	안경
アイマスク	마스크
鼻	코
耳	귀
手袋	장갑
ネックレス	목걸이
チョーカー	초커
リボン	리본
腕	팔
へそ	배꼽
足首	발목
背中	등
しっぽ	꼬리
前穴	앞구멍
セット	세트
メイド服	메이드복
コスチューム	코스튬
下着	속옷
プリセット	프리셋
プリセットを削除して宜しいですか。	프리셋을 삭제해도 괜찮습니까?
ランダム	랜덤
プロフィール	프로필
プライドが高く負けず嫌い	자존심이 세고 지기 싫어함
クールで大人びている	쿨하고 어른스러운
純真で健気な妹系	순진하고 기운찬 여동생계
病的な程一途な大和撫子	병적으로 외골수인 요조숙녀
母性的なお姉ちゃん	모성적인 누나
処女	처녀
経験あり	경험 있음
後ろ経験あり	뒤로 경험 있음
両方経験あり	양쪽 경험 있음
緊張	긴장
お近づき	친근
信頼	신뢰
恋人	연인
愛奴	애노
メイドポイント	메이드 포인트
プロフィールコメント	프로필 코멘트
フリーコメント	프리 코멘트
$^体力\+(\d+)$	체　력 +$1
$^精神力\+(\d+)$	정신력 +$1
とことん尽くす	헌신적인
上品	품위있는
大人びた魅力	어른의 매력
傅く	섬기는
優雅	우아한
妖艶な魅力	요염한 매력
恥ずかしがり屋	부끄럼쟁이
凜とした	늠름한
素直	솔직한
高貴	고귀한
魔性の魅力	마성의 매력
天使	천사같은
優美	우아하고 아름다운
元気な笑顔	건강한 미소
魅了	매료하는
純真無垢	순진무구
朗らかな魅力	명랑한 매력
一途	외골수
雅	청아한
盲目的	맹목적인
撫子	요조숙녀
母性的	모성적인
女神	여신
風雅	풍아
過去の秘密	과거의 비밀
過去の過ち	과거의 실수
性感帯	성감대
口	입
喉	목구멍
クリトリス	클리토리스
性癖	성벽
奉仕好き	봉사 선호
淫乱	음란
M女	Ｍ녀
変態	변태
飲精好き	정액 마시기 선호
中出し好き	질내사정 선호
尻穴好き	애널 선호
2穴好き	2구멍 선호
名前と苗字のどちらで呼びますか？	성과 이름 중 어느 쪽으로 부를까요?
苗字で呼ぶ	성으로 부른다
名前で呼ぶ	이름으로 부른다
このメイドにしますか？	이 메이드로 할까요?
無し	없음
装着しているアイテムを外します。	장착하고 있는 아이템을 제외합니다.
初代フェイス・タレ目	초대 페이스ㆍ쳐진눈
初代から続くタレ目フェイス。癒し系なかわいい表情になります。初代カスタムメイド３Ｄの良い所を、大切に受け継いだ伝家の宝刀。	초대부터 계속되는 쳐진눈 페이스. 치유계인 사랑스러운 표정이 됩니다. 초대 커스텀 메이드 3D의 좋은 곳을, 소중히 계승한 전가의 보도.
初代フェイス・ツリ目	초대 페이스ㆍ트리눈
初代から続くツリ目フェイス。きりっとした表情になります。初代カスタムメイド３Ｄの良い所を、大切に受け継いだ十八番。	초대부터 계속되는 트리눈 페이스. 찌릿한 표정이 됩니다. 초대 커스텀 메이드３Ｄ가 좋은 곳을, 소중히 계승한 십팔번.
初代フェイス・ノーマル	초대 페이스ㆍ보통
初代から続くノーマルフェイス。とってもノーマルな表情です。初代カスタムメイド３Ｄの良い所を、大切に受け継いだ伝統。	초대부터 이어져온 보통 페이스. 매우 정상적인 표정입니다. 초대 커스텀 메이드３Ｄ가 좋은 곳을, 소중히 계승한 전통.
プリティフェイス・タレ目	프리티 페이스ㆍ쳐진눈
プリティなタレ目フェイス。可愛さ120％アップ。ちょっぴりタレ目でチャーミング。おっとりムードの癒し系。	프리티한 쳐진눈 페이스. 사랑스러움 120％업. 조금 쳐진 눈으로 챠밍. 차분히 무드의 치유계.
プリティフェイス・ツリ目	프리티 페이스ㆍ트리눈
プリティなツリ目フェイス。可愛さ120％アップ。柔らかくも、凛と澄んでいます。いわゆる甘さ控えめです。	프리티한 트리눈 페이스. 사랑스러움 120％업. 부드럽지도, 늠과 맑고 있습니다. 이른바 달콤함 소극적입니다.
プリティフェイス・ノーマル	프리티 페이스ㆍ보통
プリティなノーマルフェイス。可愛さ120％アップ。どんないたずらも許せそうです。むしろ、いたずらされたい。	프리티한 보통 페이스. 사랑스러움 120％업. 어떤 장난도 허락할 수 있을 것 같습니다. 오히려, 장난되고 싶다.
基本まゆ	기본 눈썹
基本のまゆ。まよったらコレ。	기본의 눈썹. 따르면 이것.
かなり太まゆ	꽤 굵은 눈썹
かなり太めのまゆ。太いですが、綺麗に整っています。	꽤 굵은 듯한 눈썹. 굵습니다만, 예쁘게 갖추어지고 있습니다.
キリ太まゆ	찌릿 굵은 눈썹
キリッとした太まゆです。目力がわずかに増えます。	야무지게 굵은 눈썹입니다.\n시력이 조금 증가합니다.
たくあんまゆ	단무지 눈썹
たくあんのようなまゆ。※たべられません。	단무지처럼 생긴 눈썹.\n※먹을 수 없습니다.
ちょい太まゆ	조금 굵은 눈썹
ちょいと太めのまゆ。飾らない可愛さ。	조금 굵은 듯한 눈썹. 장식하지 않는 사랑스러움.
まろまゆ	둥근 눈썹
まろまゆでおじゃる。	눈썹 나오고 두려워하고.
下がりまゆ	쳐진 눈썹
下がり気味のまゆ。優しさアップ。	내릴 기색의 눈썹. 상냥함 업.
短まゆ	짧은 눈썹
短めのまゆ。	약간 짧은 듯한 눈썹.
重ねまゆ	겹쳐진 눈썹
2重になっているまゆ。	2겹이 되어 있는 눈썹.
ノーマル	노멀
迷ったらこの瞳。	헤매면 이 눈동자.
バランス	밸런스
バランスが良い瞳。それだけに奥が深いんです。	밸런스가 좋은 눈동자. 그런 만큼 안쪽이 깊습니다.
マイルド	마일드
黒目の部分が広いマイルドな瞳。じんわりマイルドに見つめます。	검은자위의 부분이 넓은 마일드인 눈동자. 서서히 마일드에 응시합니다.
マイルドバランス	마일드 밸런스
少し大きく、バランスが良い瞳。柔らかく、マイルドな雰囲気です。	조금 크고, 밸런스가 좋은 눈동자. 부드럽고, 마일드인 분위기입니다.
E・エッグ	Eㆍ에그
卵型の大きな瞳。怪しく光る、THE・Eroge・エッグ。	달걀형의 커다란 눈동자. 이상하게 빛나는, THEㆍ에로게ㆍ에그.
アニマルアイリス	애니멀 아이리스
猫科っぽい瞳。ガラスのように透き通ります。	고양이과 같은 눈동자. 유리와 같이 틈이 나 통합니다.
エッグ	에그
卵型の大きな瞳。まるっとしてます。	란형의 큰 눈동자. 만로 하고 있습니다.
オーロラ	오로라
オーロラのように綺麗な瞳。美しい光のカーテンのようです。	오로라와 같이 예쁜 눈동자. 아름다운 빛의 커텐인 것 같습니다.
オブロング・アニメ	오브 롱ㆍ애니메이션
縦長のアニメっぽい瞳。	종장의 애니메이션 같은 눈동자.
クォーツ	쿼츠
かなり黒目が小さめの瞳。煌びやかな水晶のようです。	꽤 검은자위가 작은 눈동자. 눈부신 수정인 것 같습니다.
クリアアイ	클리어 아이
シンプルで綺麗な瞳です。どなたにもオススメです。	심플하고 예쁜 눈동자입니다. 어떤 분에게도 추천입니다.
クリアキャット	클리어 캣
猫っぽい感じの瞳ですにゃ。	고양이 같은 느낌의 눈동자.
クリアスター	클리어 스타
瞳にお星さまを宿します。	눈동자에 별님을 품습니다.
クリアハート	클리어 하트
ハートを瞳に浮かべます。プリティなラブを秘めてます。	하트를 눈동자에 띄웁니다. 프리티인 러브를 숨기고 있습니다.
クリアハート・ラージ	클리어 하트ㆍ라지
大きなハートを瞳に浮かべます。抑えきれないラブを秘めてます。	큰 하트를 눈동자에 띄웁니다. 억제하지 못할 러브를 숨기고 있습니다.
グレートオールドワン	그레이트 올드 원
なんだか眠たそうな瞳。高位の魔族っぽいです。	어쩐지 졸린 것 같은 눈동자. 고위의 마족 같습니다.
シャープアイ	샤프 아이
虹彩広めの瞳。そしてシャープな瞳孔です。	홍채 넓은 눈동자. 그리고 샤프한 동공입니다.
スタンダート	스탠다드
黒目が大きめの瞳です。安定感があります。	검은자위가 큰 눈동자입니다. 안정감이 있습니다.
スネーク	스네이크
蛇のような瞳。慣れるとクセになります。	뱀과 같은 눈동자. 익숙해지면 주제에 됩니다.
スネーク・ミニ	스네이크ㆍ미니
蛇のような小さな瞳。見つめても石にはなりません。	뱀과 같이 작은 눈동자. 응시해도 돌로는 되지 않습니다.
スノークリスタル	스노우 크리스탈
雪の結晶が浮かんでます。アスタリスクとは別物です。	눈의 결정이 떠올라 있습니다. asterisk와는 별개입니다.
スモール	스몰
少し小さ目の瞳。中にはぎっしり詰まってます。	조금 소눈의 눈동자. 안에는 가득 막히고 있습니다.
ダイヤアイリス	다이아 아이리스
透き通るダイヤの様な瞳。独特の高級感を秘めてます。	투명한 다이어의 같은 눈동자. 독특한 고급감을 숨기고 있습니다.
ネコマタ	네코마타
猫耳キャラに合いそうな瞳。にゃぉ～。	고양이귀 캐릭터에게 맞을 것 같은 눈동자. ∼.
ハーフ・アニメ	하프ㆍ애니메이션
半分の輪があるアニメっぽい瞳。カートゥーンといった雰囲気です。	반의 고리가 있는 애니메이션 같은 눈동자. 카트라고 하는 분위기입니다.
バフォメット	바포멧트
ヤギっぽい瞳。角が似合いそうです。	염소 같은 눈동자. 모퉁이가 어울릴 것 같습니다.
フラット・アニメ	플랫ㆍ애니메이션
平坦なアニメっぽい瞳。ジ・アニメーション。	평탄한 애니메이션 같은 눈동자. 지ㆍ애니메이션.
キャッツアイ	캣츠 아이
にゃあ。	냐~.
クリアジュエル	클리어 주얼
宝石のように澄んだ瞳。少し横幅広めです。	보석처럼 맑은 눈동자 조금 가로 폭 넓습니다.
クリクリマナコ	동글동글 눈동자
クリクリとしたまあるいおめめ。まあるいのです。	동글동글한 모양을 하고있는 눈. 뭐 있을것 같습니다.
スウィートキャンディ	스위트 캔디
キャンディのような瞳。どんな味に致しましょうか。	캔디 같은 눈. 어떤 맛으로 드릴까요?
ソフトポップス	소프트 팝스
ソフトでポップな瞳。柔らかめな印象になりやすいです。	부드럽고 대중적인 눈동자. 좀 질 인상이 되기 쉽습니다.
トラディショナル	트레디셔널
少し大きな可愛らしい瞳。それなりに見かけるかも。	더 큰 귀여운 눈동자. 나름대로 볼지도.
ハーフムーン・アニメ	하프 문ㆍ애니메이션
半月がくっきりなアニメっぽい瞳。どことなく幼さが増すような。	반달이 선명한 애니메이션 같은 눈동자 어딘지 모르게 어린 티가 증가 같은.
フラット・ドロップ	플랫ㆍ드롭
平らっぽくて三角っぽい瞳。飽くまでもぽいのです。	평평하고 유치해서 삼각 같은 눈동자. 어디까지나 같은 것입니다.
メカニカルアイ	메커니컬 아이
ワタシ・ハ・ロボット・デス。……そんな気分の時にどうぞ。	나ㆍ는ㆍ로봇ㆍ입니다. ……그런 기분 때 부디.
ライトプット	라이트 풋
光を端に散りばめました。	빛을 끝에 넣었습니다.
スタンダード	스탠다드
迷った時の、この一本。	헤매었을 때의, 이 한 개.
アンダー	언더
下の位置のハイライト。ちょっぴり天然入ります。	아래의 위치의 하이라이트. 조금 엉뚱한 행동을 합니다.
オーバー	오버
上の位置のハイライト。素敵に元気な印象を与えます。	위의 위치의 하이라이트. 멋지게 건강한 인상을 줍니다.
キュピーン！	반짝!
煌めき閃きハイライト。凄い何かが思いつきそうです。	황인 듯해 번쩍임 하이라이트. 굉장한 뭔가가 생각날 것 같습니다.
ぐるぐるライト	빙글빙글 라이트
めがまわりそうなハイライト。ぐ～るぐるっ。	째가 주위 그런 하이라이트. ∼꾸물거린다.
シンプル	심플
シンプルなハイライト。良く見かけます。	심플한 하이라이트. 잘 보입니다.
スターキラキラ	스타 반짝반짝
キラキラスターなハイライト。わたし今、とってもキラキラしてる！	반짝반짝 스타인 하이라이트. 나 지금, 매우 반짝반짝 하고 있다!
ブライト	브라이트
キラキラのハイライト。世界が明るく見えそうです。	반짝반짝의 하이라이트. 세계가 밝게 보일 것 같습니다.
マイルド・ハイライト	마일드ㆍ하이라이트
光弱めのマイルドなハイライトです。派手過ぎず、良い感じです。	빛 약한 마일드인 하이라이트입니다. 너무 화려하지 않고, 좋은 느낌입니다.
放課後ラブは～と	방과후 러브는 ~와
熱いハートが目にでてしまいました。ラブな感情特盛です。	뜨거운 하트가 눈에 나와 버렸습니다. 러브인 감정특성입니다.
アプローチ	어프로치
アプローチをかけるハイライト。	접근을 걸하이라이트.
アマノガワ	은하수
二つのハイライト。遠く離れていても二つは一緒です。	두개의 하이라이트. 멀리 있어도 둘은 같습니다.
イルミナ	일루미나
下からの元気そうなハイライト。明るく照らしてくれます。	아래로부터의 건강할 만한 하이라이트. 밝게 비추어 줍니다.
キラメキ	반짝임
キラめいちゃいます。	키라 같네요.
ジャスティス	저스티스
ほと走るハイライト。差し込む光は正義の証です。	돛과 달리기를 하이라이트. 빛은 정의의 증거입니다.
ツインズ	트윈스
二つずつの小さなハイライト。	두개씩의 작은 하이라이트.
ディファレンス	디퍼런스
上下で結構離れたハイライト。差があります。	상하에서 꽤 떨어진 하이라이트. 차이가 있습니다.
ブリッジ	브릿지
つながっているようなハイライト。つながっていません。	이어지는 듯한 하이라이트. 연결되어 있지 않습니다.
フレアライト	플레어 라이트
レンズフレアっぽいハイライト。君の瞳がまぶしいぜ。	렌즈 플레어는 하이라이트. 너의 눈동자가 눈부시자.
ポップス	팝스
シンプルでポップなハイライト。見てると元気が湧いてきそう。	심플하고 대중적인 하이라이트. 보면 기운이 솟아날 것 같아.
ハイライト無し	하이라이트 없음
ハイライト無し。吸い込まれそうです。	하이라이트 없음. 빨려 들여갈 것 같습니다.
そばかす	주근깨
思春期特有のそばかすです。	사춘기 특유의 주근깨입니다.
泣きボクロ	눈물점
泣きボクロ・R	눈물점ㆍR
泣きボクロ・W	눈물점ㆍW
目の下の泣きボクロです。	눈 아래의 눈물 점입니다.
艶ボクロ・アンダー	애교점ㆍ언더
艶ボクロ・アンダー・R	애교점ㆍ언더ㆍR
口の下の艶っぽいほくろです。	입 아래의 요염한 점입니다.
艶ボクロ・オーバー	애교점ㆍ오버
艶ボクロ・オーバー・R	애교점ㆍ오버ㆍR
口の上の艶っぽいホクロです。	입 위의 요염함 점입니다.
泣きボクロ＆艶ボクロ・アンダー	눈물점&애교점ㆍ언더
泣きボクロ＆艶ボクロ・アンダー・R	눈물점&애교점ㆍ언더ㆍR
目の下と口の下のホクロです。	눈 아래와 입 아래의 점입니다.
泣きボクロ＆艶ボクロ・オーバー	눈물점&애교점ㆍ오버
泣きボクロ＆艶ボクロ・オーバー・R	눈물점&애교점ㆍ오버ㆍR
目の下と口の上のホクロです。	눈 아래와 입 위의 점입니다.
グロス	글로스
何もつけていないように見える唇。よ～く見てください。……もう！近づきすぎです！	아무것도 붙이지 않은 것 처럼 보이는 입술. ∼구 봐 주세요. ……이제! 너무 가까워집니다!
ナチュラルリップ	내츄럴 립
淡いピンクのナチュラルなリップ。自然な表情を引き出します。	희미한 핑크의 내츄럴한 립. 자연스러운 표정을 꺼냅니다.
ピュアピンク・グロス	퓨어 핑크ㆍ글로스
ほんのり赤みを帯びたグロス。	어렴풋이 붉은 빛을 띤 글로스.
ライトリップ	라이트 립
薄めの口紅。口紅初心者にもお勧めなリップです。	얇은 루즈. 루즈 초심자에게도 추천인 립입니다.
八重歯	덧니
可愛らしく尖った八重歯。	사랑스럽게 날카로워진 덧니.
牙歯	아치
がぶっと噛みつきそうな歯。	와 물 것 같은 이빨.
オールバック	올백
オールバックな前髪。大きくおでこを出します。	모두 뒤로 넘긴 앞머리.\n이마를 전부 드러냅니다.
LAMUNATION!・アイリスフロント	LAMUNATION!ㆍ아이리스 프론트
WHITE POWDERコラボ衣装。LAMUNATION!のアイリスの前髪。	WHITE POWDER 콜라보.\nLAMUNATION!의 아이리스의 앞머리.
LAMUNATION!・らむねフロント	LAMUNATION!ㆍ라무네 프론트
WHITE POWDERコラボ。LAMUNATION!のらむねの前髪。	WHITE POWDER 콜라보.\nLAMUNATION!의 라무네의 뒷머리.
縦巻きロール	세로말기 롤
顔の横でクルッと巻いた縦巻きロール。上品に巻いてます。	얼굴 옆으로 빙글 감겨있는 세로말기 롤.\n품위있게 말려 있습니다.
アクティブベリーショート	액티브 배리 쇼트
とことん短い前髪。アクティブなおでこが伺えます。	아주 짧은 앞머리. 액티브한 이마가 엿보입니다.
インテークウェーブボブ	인테크 웨이브 단발
軽さを感じるボブ前髪。ゆるふわウェーブ。	가벼움을 느끼는 단발 머리. 느슨한 웨이브.
エアリーウェーブボブ	에어리 웨이브 보브
ウェーブした短めの前髪。エアリー感がふんだんにあります。	웨이브 한 짤막한 앞머리. 풍성함이 충분히 있습니다.
お嬢様ロング	아가씨 롱
上品なロングの前髪。お嬢様にとても似合いそうです。	품위있는 긴 앞머리.\n아가씨에게 잘 어울립니다.
ガーリースタイル	걸리 스타일
乙女にぴったりなぱっつん前髪。清潔感が増すような気がします。	소녀에게 딱인 뱅 스타일.\n청결함이 늘어난것 같은 기분이 듭니다.
カジュアル	캐주얼
頭の上部で二つにわかれている前髪。アニメでよく見かけるかも。	머리의 상부에서 2개에 헤어지고 있는 앞머리. 애니메이션으로 잘 보일지도.
カジュアルショートアシメ	캐주얼 쇼트 애시메트리
アシンメトリーな前髪。さわやかで表情もはっきり。愛らしさが増します。	비대칭인 앞머리.\n시원해서 표정도 분명하게. 사랑스러움이 늘어납니다.
カジュアルショートアシメ・R	캐주얼 쇼트 애시메트리ㆍR
ショートでアシンメトリーな前髪。さわやかで表情もはっきり。愛らしさが増します。	짧고 비대칭인 앞머리.\n시원해서 표정도 분명하게. 사랑스러움이 늘어납니다.
キューティカール	큐티 컬
長い部分がくるんと外側にはねた前髪。この外はねが良いんです。	긴 부분이 오는 와 외측에는 잔 앞머리. 이 밖은요가 좋습니다.
キューティベーシック	큐티 베이직
二つ分けのキュートな前髪。笑顔も更にキュートに引き立てます。表情もよく見えちゃいます。	양갈래의 귀여운 앞머리.\n미소가 더욱 귀엽게 돋보입니다. 표정도 잘 보이네요.
サイドシャープ	사이드 샤프
サイドの髪が鋭くハネた前髪。重力にほどよ～く抗います。	사이드 머리가 날카롭게 한 앞머리. 중력에 정도~에 항거합니다.
サキュバスフロント	서큐버스 프런트
毛先がとても長いのが特徴的な前髪。妖艶な雰囲気を醸し出すとか。	털끝이 너무 긴 것이 특징적인 앞머리. 에로틱한 분위기를 자아내다.
サラツヤ	사라츠야
少し長めのさらりとした前髪。きっちりと分けきらない所がミソです。サイドヘアーが長いのも特徴的。	약간 긴 듯한 매끈한 앞머리.\n제대로 나누지 못한 곳이 특징입니다. 옆머리가 긴 것도 특징적.
ショートサイドカール	쇼트 사이드 컬
独特のカールがキュートな前髪。くりんと後ろに伸びてます。	독특한 칼이 깜찍한 앞머리. 쿠 리은토 뒤에 늘지요.
ショートレイヤー	쇼트 레이어
綺麗に分けられた前髪。目にかかりにくいのがポイント。	예쁘게 나눌 수 있었던 앞머리. 눈에 뜨이기 어려운 것이 포인트.
シンプルショート	심플 쇼트
シンプルで短めな前髪。そしてもちろん、可愛い。シンプル故に奥が深いのです。	심플하고 짧은 앞머리.\n그리고 당연히, 사랑스럽다. 심플하기 때문에 안쪽이 깊습니다.
ストレートぱっつん	스트레이트 짝
ストレートでぱっつんな前髪。直球ストライクッ！	스트레이트로 짝인 앞머리.직구 스토라익쯔!
スプリングショート	스프링 쇼트
爽やかさを感じさせる前髪。なびいた髪がキュートです。	상쾌함을 느끼게 하는 앞머리. 나부낀 머리카락이 매력적입니다.
スポーティーフロント	스포티 프론트
さわやかスポーツ好青年な前髪。運動神経がアップしそうです。	산뜻한 스포츠 좋은 청년인 앞머리. 운동 신경이 향상될 것 같습니다.
センター分けショート	가운데 가르기 쇼트
センターで分けたショートな前髪。王道を往くシンプルさが良い味です。	센터에서 나눈 짧은 앞머리.왕도를 간 심플함이 좋은 맛입니다.
チャーミングショート	챠밍 쇼트
さわやかで品の良いショートな前髪。育ちの良さが感じられます。	상쾌하고 부류의 짧은 앞머리.성장의 좋은 점이 느껴집니다.
デコ出し	이마 내기
大胆におでこが見える前髪。くっきりと表情がよ～く見えます。デコピン欲を掻き立てます。	대담하게 이마가 보이는 앞머리. 선명하게 표정이∼구 보입니다. 핑거펀치욕구를 일으킵니다.
ナチュラルショート	내츄럴 쇼트
前髪の比率が『３：９』ではない前髪。ネギを持たせたくなりますね。	앞머리의 비율이『３：９』이 아닌 앞머리. 파를 갖게하고 싶어지네요.
ナチュラルロング	내츄럴 롱
ストレートな前髪。お手入れ足らずでちょっとツンツン。	파업-레이트인 앞머리. 손질 미만으로 조금 츤츤.
ハーフアップ	하프 업
ハーフアップ・R	하프 업ㆍR
片方をかきあげた前髪。活発さをイメージさせます。	다른 한쪽을 슬어 올린 앞머리. 활발함을 이미지 시킵니다.
ハーフシェード	하프 쉐이드
ハーフシェード・R	하프 쉐이드ㆍR
片目がすっぽり隠れる前髪。隠れていても、目はしっかりあります。	한쪽 눈이 푹 숨는 앞머리. 숨어 있어도, 눈은 확실히 있습니다.
ビューティーロング	뷰티 롱
太腿辺りまでの超ロングな前髪。美しきサラサラにおどろきの長さ。	허벅지 부위까지 내려오는 긴 앞머리. 놀라울 정도의 길이에 아름답게 살랑살랑.
フルシェード	풀 쉐이드
両目がすっぽりと隠れる前髪。恥ずかしがり屋さんにピッタリです。隠れた表情がとても気になります。	두 눈이 푹 숨겨진 앞머리.\n부끄럼쟁이에게 딱 맞습니다. 숨겨진 표정이 매우 신경쓰입니다.
ベーシックショート	베이직 쇼트
ベーシックな短めの前髪。平凡な中にも可愛さアリ。	기본적인 짧은 앞머리.\n평범한 안에도 사랑스러움이 있다.
ベリーショート	배리 쇼트
さわやかベリーショート前髪。スッキリとしたい時にどうぞ。	산뜻한 숏 커트 머리.산뜻하고 싶을 때 오세요.
ミステリアス	미스테리어스
ミステリアスな前髪。シンメトリに見えて実はそうではない。ミステリアス～。	신비한 앞머리. 싱메 트리에 띄게 사실은 그렇지 않다. 미스테리~
ミディアムレイヤー	미디엄 레이어
