セーブしていないデータは失われます。終了しますか？	세이브하지 않은 데이터는 없어집니다.\n종료하시겠습니까?
顔向き上下	얼굴 방향 (↕)
値	값
エディット	에디트
基本立ち	기본 서기
腰に手を当て前のめり	허리에 손을 올리고 내밀기
膝立ち	손 모아 무릎으로 서기
セクシーポーズ	섹시 포즈
ちょりっ	찰칵!
お座り	앉아!
座りながら足上げ	앉아서 한쪽 다리를 올린다
無防備な誘惑	무방비한 유혹
よつんばい	납죽 엎드리기
前屈みの胸強調	허리를 숙여 가슴을 강조
床でごろごろ	바닥에서 딩굴딩굴
モデル立ち	모델 서기
片膝立ち	한쪽 무릎으로 서기
攻撃態勢！	공격태세!
デース！	데~스!
オホホ	오호호
お悩み中	고민중
うっふーん	우훗
アテンションプリ～ズ	어텐션 플리~즈
にゃあ～！	냐아~!
ダブルピース	더블 피스
振り向き美人	뒤돌아본 미인
きゃぴっ！	깜찍하게!
きーんっ！	부~웅
上段蹴り	상단 차기
ウェルカム	웰컴
あらぶる！	날아올라!
休め！	쉬어!
ぎゅっとして？	꼭 안아줘?
はにかみ！	부끄럽게!
あら！	어머!
披露	어때?
ころりん	대구르르
自撮り風	셀카
はーい！	네~에!
緊張の立ち姿	긴장하며 서있는 모습
指つん立ち	저기……
軽い前のめり	가볍게 앞으로 기울이기
技の構え	기술 자세
力の構え	힘 자세
功夫の構え	쿵푸 자세
高貴なる構え	품위있는 자세
うそなき	우는척
がおー！	어흥~!
ほえ？	어라?
ぱぁ！	꺄앗!
よっーす！	옛~서!
シャキーン！	화려하게 등장!
パンツくぱぁ立ち	서서 팬티 펼치기
パンツくぱぁ座り	앉아서 팬티 펼치기
和式	푸세식
おっぴろげ	벌리기
Wピース	W 피스
腹パンいたた……	배빵 아야야……
目隠し	눈가리기
立ち口元に手を当てる	서서 입가에 손을 얹는다
雌豹のポーズ	암표범 포즈
スクワット？	스쿼트?
のびっ	기지개
体育座り	체육시간 앉기
汎用-立ち	범용 - 서기
素立ち	평범하게 서기
楽な立ち方	편안하게 서있는 자세
片足重心立ち	한쪽 다리를 중심으로 서기
足を揃えて立つ	발을 가지런히 해 선다
腰に手を当て立つ	허리에 손을 올리고 선다
足を崩して立つ１	발을 어지럽게 해 선다 1
足を崩して立つ２	발을 어지럽게 해 선다 2
足を崩して立つ３	발을 어지럽게 해 선다 3
頬に指を当て考える１	볼에 손을 대고 생각한다 1
頬に指を当て考える２	볼에 손을 대고 생각한다 2
お腹の前で指を組む	배 앞에서 깍지를 낀다
ご案内ですよ	안내해 드리겠습니다
ハッとするポーズ	깜짝 놀라는 포즈
窓際より掛かり	벽에 기대고 서기
体を隠す	몸을 가린다
髪をかきあげる２	머리를 쓸어올린다 2
汎用-動作	범용 - 동작
内股3回ジャンプ	안짱걸음 3번 점프
軽い3回ジャンプ	가볍게 3번 점프
頭を下げた状態	고개를 숙인 상태
頭を上げる	고개를 든다
頭を上げた状態	고개를 들고 대기
女の子ポーズ	여자아이 포즈
女の子ポーズふらふら	여자포즈 포즈 흔들림
女の子ポーズゆらゆら	여자아이 포즈 비틀기
考える女の子ポーズ	생각하는 여자아이 포즈
お辞儀を１度	머리 숙여 인사하기 1번
腰に手を当て息をつく	허리에 손을 올리고 한숨
あくびをする	하품을 한다
髪をかきあげる	머리를 쓸어올린다
胸の前で手を組む	가슴 앞에서 손을 잡는다
指をふる	손가락을 흔든다
重心を左にして戻す	중심을 왼쪽으로 되돌린다
頬を掻く	뺨을 긁는다
腕組み後考える	팔짱을 낀 후 생각한다
考える	생각한다
ふか～いおじぎ	기~픈 인사
頬に指を当て戻す	볼에 손을 대고 되돌린다
頬に指を当て戻す右	볼에 손을 되돌린다 오른쪽
肩で息をする	어깨로 숨을 쉰다
メガネクイッ	안경 퀵모션
小さく頷く	작게 끄덕인다
足揃えてお辞儀１回	발을 모아서 인사 1회
くるっと回る	빙그르 회전한다
足を寄せて回る	발을 기대고 회전한다
汎用-会話	범용 - 대화
膝立ち待機	무릎으로 서서 대기
腕組顔そむけ	팔장을 끼고 얼굴 돌린다
顔そむけ	얼굴을 돌린다
やれやれ	이런이런
やれやれ待機	이런이런 대기
体を数度左右に捻る	몸을 몇번 좌우로 비튼다
可愛くごめんね	사랑스럽게 미안해
可愛くごめんね待機	사랑스럽게 미안해 대기
がっかり	실망
拍手３回(遅)	박수 3번(느림)
拍手５回(速)	박수 5번(빠름)
遅い拍手	천천히 박수치기
速い拍手	빠르게 박수치기
怯む	질려한다
怯む待機	질려하고 대기
頬を掻く待機	뺨을 긁고 대기
手を後ろに回す	손을 뒤로 돌린다
手を後ろに回す待機	손을 뒤로 돌리고 대기
腰に手を当て見下ろす	허리손 상태로 내려다본다
腰に手当見下待機	허리손 내려다보기 대기
片手を前に突き出す	한쪽 손을 앞으로 내민다
片手前待機	한쪽 손을 내밀고 대기
悔しい	분하다
悔しい手バタバタ	분해서 손을 버둥버둥
悔しい待機	분해하며 대기
もー！	정말!
もー！待機	정말! 대기
任せなさい	맡겨주세요
任せなさい待機	맡겨주세요 대기
びっくり待機	깜짝 놀라고 대기
がっくりorz	맥없이 orz
がっくりorz待機	맥없이 orz 대기
orzから立ち上がる	orz에서 일어나 선다
ごめんなさい	죄송합니다
ごめんなさい待機	죄송합니다 대기
手を重ねて立つ待機	손을 포개서 선채로 대리
手を重ねる	손을 포갠다
顔の前で手を合わせる	얼굴 앞에서 손을 모은다
顔前手合わせ待機	안전에서 손을 모아 대기
バ～イ	바~이
バイバイ	바이바이
照れる	쑥스러워 한다
照れる体ゆらゆら	쑥스러워 몸을 흔들흔들
人差し指立てる	집게 손가락을 세운다
こちらへどうぞ	이쪽으로 오세요
人差し指合わせる	검지 손가락을 맞댄다
人差し指ツンツン	검지 손가락을 콕콕
腕を組んで立つ	팔짱을 끼고 선다
腕を組んで立っている	팔짱을 끼고 서있는다
一度小さく頷く	한번 작게 고개를 끄덕인다
高笑いのポーズ	크게 웃는 포즈
高笑い中	크게 웃는 중
腰に手を当て待機	허리에 손을 올리고 대기
グっとガッツポーズ	파이팅 승리 포즈
グっと待機	파이팅 대기
指差し	손가락으로 가리킨다
指差し待機	손가락으로 가리키며 대기
汎用-歩き	범용 - 걷기
前歩行終了待機	앞으로 걷기 종료 대기
前歩行１中	앞으로 걷기 1 중
前歩行１前待機	앞으로 걷기 1 전 대기
後方から前歩行中	후방에서 앞으로 걷기 중
前歩行２中	앞으로 걷기 2 중
前歩行２前待機	앞으로 걷기 2 전 대기
汎用-ソファー会話	범용 - 소파 대화
会話	대화
胸を隠す	가슴을 가리는
胸を隠す待機	가슴을 가리며 대기
胸から手外す	가슴에서 손을 때는
考える待機	생각하고 대기
顎に手を当てる	턱으로 손을 당기는
顎に手待機	턱에 손 대기
頬に指を当てる	볼에 손가락을 향하는
頬に指待機	볼에 손가락 대기
額に手を当てる	이마로 손을 올리는
額に手待機	이마에 손 대기
顔から手を離す	얼굴에서 손을 떼는
驚く	놀라는
驚き待機	놀라고 대기
驚く後	놀란 후
困惑	당황
困惑待機	당황 대기
困惑後	당황 후
身を乗り出す	몸을 앞으로 내미는
身を乗り出し待機	몸을 앞으로 내밀고 대기
身を乗り出す後	몸을 앞으로 내민 후
ぶりっこ	귀여운 척
ぶりっこ待機	귀여운 척 대기
ぶりっこ後	귀여운 척 후
口に手を当てる	입을 손으로 가리는
口に手を当て待機	입을 손으로 가리고 대기
口に手を当て後	입을 손으로 가린 후
膝上手合わせ	무릎위로 손을 모으는
膝上手合わせ待機	무릎위로 손을 모아 대기
膝上手合わせ指動	무릎에서 손가락을 까딱임
手を合わせる	손을 앞으로 모으는
手を合わせ待機	손을 앞으로 모아 대기
手を合わせ終	손을 앞으로 모은 후
照れる待機	수줍어하며 대기
照れる終	수줍어한 후
うつむく	고개를 숙이는
うつむき待機	고개를 숙이고 대기
うつむき終	고개를 숙인 후
座り-床	앉기 - 바닥
女の子座り	여자아이 앉기
尻餅ポーズ	엉덩방아 포즈
反省ぺたん座り	반성 털썩 앉기
座り-椅子A	앉기 - 의자 A
座って足をぶらぶら	앉아서 발을 흔들흔들
椅子等に座る	의자 등에 앉는
うたた寝１	선잠 1
うたた寝２	선잠 2
座り口元に手を当てる	앉아서 입가에 손을 얹는다
座り-椅子B	앉기 - 의자 B
電車座り	전철 앉기
仕事-床	업무 - 바닥
胸を隠して蹲る	가슴을 가리고 웅크리는
蹲って驚いて胸を隠す	놀라서 가슴을 가리는
足に手を揃えて座る	손을 가지런히 하고 앉는
跨ってマッサージ	올라타서 마사지
女豹のポーズ	암표범 포즈
うつ伏せに寝そべる	엎드린 자세로 드러눕는
横に座ってマッサージ	옆에 앉아서 마사지
背中を流す	등을 밀어주는
雑巾がけ前	걸레질 전
雑巾がけ中	걸레질 중
雑巾がけ悪戯後待機	걸레질 장난 후 대기
雑巾がけ中悪戯される	걸레질 중 장난하는
雑巾がけ左向き	걸레질 왼쪽으로
雑巾がけバイブIN１	걸레질 바이브 IN 1
雑巾がけバイブIN２	걸레질 바이브 IN 2
仕事-中腰	업무 - 허리굽힘
机に頬杖	책상에 턱괴기
机拭き	책상 닦기
机拭きサロン	책상 닦기 살롱
机拭き悪戯後待機	책상 닦기 중 장난 후 대기
机拭き中悪戯される	책상 닦기 중 장난하는
机拭き左向き	책상 닦기 왼쪽으로
机拭き右向き	책상 닦기 오른쪽으로
仕事-立ち	업무 - 서기
肩もみ	어깨 주무르기
肩もみ首かしげ	어깨 주무르며 목 기울이기
立って胸でマッサージ	선 상태로 가슴을 마사지
立ち状態キス後	선 상태로 키스 후
立ち状態キスをする	선 상태로 키스하는
立ち状態キス	선 상태로 키스
立ち状態キス待機	선 상태로 키스 대기
テニスの構え	테니스 자세
テニスラケットを振る	테니스 라켓 휘두르는
ガッツポーズ	승리포즈
ガッツポーズ後	승리포즈 후
右向いて立つ	오른쪽으로 향하고 서기
左向いて立つ	왼쪽으로 향하고 서기
手渡し	손으로 전하기
手渡し後静止	손으로 전하기 후 정지
待ち立ち状態	선 상태로 기다리는
模様替え	재배치
拭き掃除	닦기 청소
拭き中振り向き待機	닦기 중 돌아보며 대기
拭き中悪戯され振向く	닦기 중 장난하는 돌아보기
拭き掃除顔上げ	닦기 청소 머리들기
拭き掃除右向き	닦기 청소 오른쪽으로
拭き掃除バイブIN１	닦기 청소 바이브 IN 2
拭き掃除バイブIN２	닦기 청소 바이브 IN 2
掃き掃除	쓸기 청소
ハタキ	먼지털기
ハタキ中振り向き待機	먼지털기 중 돌아서며 대기
ハタキ中悪戯され振向	먼지털기 중 장난 돌아보기
ハタキ左向き	먼지털기 왼쪽으로
ハタキ正面向き	먼지털기 정면으로
箒持って立つ	빗자루 들고 서기
箒悪戯後待機	빗자루 장난 후 대기
箒持ち中悪戯される	빗자루질 중 장난하는
モップがけ	대걸레 청소
モップ悪戯後待機	대걸레 장난 후 대기
モップ中悪戯される	대걸레 중 장난하는
モップがけ顔を上げる	대걸레 청소 얼굴을 드는
モップ中バイブIN１	대걸레 중 바이브 IN 1
モップ中バイブIN２	대걸레 중 바이브 IN 2
食器洗い	설거지
壺拭き	꽃병 닦기
ベッドメイク	침대 정리
ベッドメイク悪戯後	침대 정리 장난 후
ベッドメイク悪戯	침대 정리 장난
ベッドメイク左向き	침대 정리 왼쪽으로
ベッドメイク右向き	침대 정리 오른쪽으로
一礼後こちらへどうぞ	인사 후 이쪽으로 오세요
こちらへどうぞ待機	이쪽으로 오세요 대기
こちらへ悪戯される	이쪽으로 장난하는
こちらへ悪戯後	이쪽으로 장난 후
買い物鞄を持って立つ	쇼핑 가방 들고 서기
買い物悪戯後	쇼핑 장난 후
買い物悪戯される	쇼핑 장난하는
給仕	급사
給仕後	급사 후
給仕悪戯後	급사 장난 후
給仕中悪戯される	급사 중 장난하는
給仕バイブIN１	급사 바이브 IN 1
給仕バイブIN２	급사 바이브 IN 2
給仕バイブIN３	급사 바이브 IN 3
給仕バイブIN４	급사 바이브 IN 4
如雨露で水やり	물뿌리개로 물주기
如雨露で水やり待機	물뿌리개로 물주기 대기
水やり悪戯後	물주기 장난 후
水やり中悪戯される	물주기 중 장난하는
水やり右向き	물주기 오른쪽으로
包丁で切る	칼로 자르는
鍋をかき回す	냄비를 젓는
洗濯物を干す	빨래를 너는
物干し悪戯後	빨래널기 장난 후
物干し中悪戯される	빨래널기 중 장난하는
洗濯物を干す右向き	세탁물을 너는 오른쪽으로
仕事-椅子A	업무 - 의자 A
花瓶の花を整える	꽃병의 꽃을 가다듬는
お化粧	화장
お化粧待機	화장 대기
お化粧_パフ	화장 퍼프
お酌	술 따르기
お酌待機	술 따르기 대기
乾杯	건배
ワインを飲む	와인 마시기
ワイン飲んだ後待機	와인 마신 후 대기
座って本を読む	앉아서 책을 읽는
本読み悪戯後	책읽기 장난 후
本読み中悪戯される	책읽기 중 장난하는
座って本を読む右向き	앉아서 책읽기 고개를 돌린
座って会話	앉아서 대화
座って会話悪戯後	앉아서 대화 장난 후
座って会話悪戯される	앉아서 대화 중 장난하는
耳かき	귀청소
耳かき悪戯後	귀청소 장난 후
耳かき中悪戯される	귀청소 중 장난하는
お裁縫	바늘질
洗濯物をたたむ	세탁물을 정리하는
仕事-椅子B	업무 - 의자 B
勉強座り待機	공부 앉아서 대기
お茶入れ待機	차 마시기 대기
勉強待機	공부 대기
夜伽-普通系	밤시중 - 일반
正常位待機	정상위 대기
正常位1	정상위 1
正常位2	정상위 2
正常位3	정상위 3
正常位キス1	정상위 키스 1
正常位キス2	정상위 키스 2
正常位キス3	정상위 키스 3
正常位胸揉み1	정상위 가슴 주무르기 1
正常位胸揉み2	정상위 가슴 주무르기 2
正常位胸揉み3	정상위 가슴 주무르기 3
純真正常位胸揉み1	정상위 가슴 만지기 (순진)
正常位絶頂	정상위 절정
正常位射精中	정상위 안에 사정
正常位射精外	정상위 밖에 사정
正常位失神	정상위 실신
正常位失神待機	정상위 실신 대기
騎乗位待機	기승위 대기
騎乗位1	기승위 1
騎乗位2	기승위 2
騎乗位3	기승위 3
騎乗位胸揉み	기승위 가슴 주무르기
騎乗位キス1	기승위 키스 1
騎乗位キス2	기승위 키스 2
騎乗位キス3	기승위 키스 3
騎乗位絶頂	기승위 절정
騎乗位絶頂待機	기승위 절정 대기
騎乗位射精中	기승위 안에 사정
騎乗位射精外	기승위 밖에 사정
騎乗位失神	기승위 실신
騎乗位失神待機	기승위 실신 대기
後背位待機	후배위 대기
後背位1	후배위 1
後背位2	후배위 2
後背位3	후배위 3
後背位胸揉み1	후배위 가슴 주무르기 1
後背位胸揉み2	후배위 가슴 주무르기 2
後背位胸揉み3	후배위 가슴 주무르기 3
後背位尻穴弄り1	후배위 항문을 자극하며 1
後背位尻穴弄り2	후배위 항문을 자극하며 2
後背位尻穴弄り3	후배위 항문을 자극하며 3
後背位絶頂	후배위 절정
後背位中出し	후배위 안에 사정
後背位外出し	후배위 밖에 사정
後背位失神	후배위 실신
後背位失神待機	후배위 실신 대기
オナニー待機	자위 대기
おねだりオナニー	자위 졸라대기
オナニー1	자위 1
オナニー2	자위 2
オナニー3	자위 3
クリオナニー1	클리토리스 자위 1
クリオナニー2	클리토리스 자위 2
クリオナニー3	클리토리스 자위 3
指3本オナニー1	손가락 3개로 자위 1
指3本オナニー2	손가락 3개로 자위 2
オナニー絶頂	자위 절정
オナニー絶頂待機	자위 절정 대기
テコキ待機	손 시중 대기
テコキ亀頭1	손 시중 귀두
テコキ撫で1	손 시중 쓰다듬기
テコキ玉1	손 시중 구슬
テコキ1	손 시중 1
テコキ2	손 시중 2
テコキ3	손 시중 3
テコキ射精	손 시중 사정
フェラ待機	페라 대기
フェラ1見上げキス	페라 1 올려다보며 키스
フェラ1見上げ先端	페라 1 올려다보며 귀두
フェラ2	페라 2
フェラ3	페라 3
フェラ射精顔	페라 얼굴에 사정
フェラ射精口	페라 입안에 사정
洗い待機	씻겨주기 대기
胸洗い	가슴으로 씻겨주기
たわし洗い	수세미로 씻겨주기
壺洗い	항아리로 씻겨주기
パイズリ待機	파이즈리 대기
パイズリ1	파이즈리 1
パイズリ2	파이즈리 2
パイズリ3	파이즈리 3
パイズリフェラ1	파이즈리 페라 1
パイズリフェラ2	파이즈리 페라 2
パイズリフェラ3	파이즈리 페라 3
パイズリ射精	파이즈리 사정
夜伽-拘束系	밤시중 - 구속
拘束愛撫待機	애무 대기
拘束愛撫1	애무 1
拘束愛撫2	애무 2
拘束愛撫3	애무 3
拘束愛撫胸揉み	애무 가슴을 주무른다
拘束愛撫尻揉み	애무 엉덩이를 주무른다
拘束愛撫絶頂	애무 절정
拘束愛撫絶頂後待機	애무 절정 후 대기
拘束愛撫失神	애무 실신
拘束愛撫失神待機	애무 실신 대기
拘束後背位待機	후배위 대기
拘束後背位1	후배위 1
拘束後背位2	후배위 2
拘束後背位3	후배위 3
拘束後背位射精中	후배위 안에 사정
拘束後背位射精外	후배위 밖에 사정
拘束立後背位待機	서서 후배위 대기
拘束立後背位1	서서 후배위 1
拘束立後背位2	서서 후배위 2
拘束立後背位3	서서 후배위 3
拘束立後背位胸揉み	서서 후배위 가슴 주무르기
拘束立後背位絶頂	서서 후배위 절정
拘束立後背位射精中	서서 후배위 안에 사정
拘束立後背位射精外	서서 후배위 밖에 사정
拘束立後背位失神	서서 후배위 실신
拘束立後背位失神待機	서서 후배위 실신 대기
拘束吊るし待機	매달기 대기
拘束吊るし1	매달기 1
拘束吊るし2	매달기 2
拘束吊るし3	매달기 3
拘束吊るし別角1	매달기 다른 각도 1
拘束吊るし別角2	매달기 다른 각도 2
拘束吊るし別角3	매달기 다른 각도 3
拘束吊るし射精中	매달기 안에 사정
拘束吊るし射精外	매달기 밖에 사정
拘束吊るし失神	매달기 실신
拘束吊るし失神待機	매달기 실신 사정
三角木馬待機	삼각목마 대기
三角木馬1	삼각목마 1
三角木馬2	삼각목마 2
三角木馬3	삼각목마 3
三角木馬怯み1	삼각목마 기죽이기 1
三角木馬怯み2	삼각목마 기죽이기 2
三角木馬怯み3	삼각목마 기죽이기 3
三角木馬怯み4	삼각목마 기죽이기 4
三角木馬怯み5	삼각목마 기죽이기 5
ドキドキ Fallin\'Love1	두근두근 ☆ Fallin' Love 1
ドキドキ Fallin\'Love2	두근두근 ☆ Fallin' Love 2
ドキドキ Fallin\'Love3	두근두근 ☆ Fallin' Love 3
コントロール	컨트롤
停止	정지
時間	시간
脱衣設定	탈의 설정
パーツ	파트
全着衣	전부 착의
全脱衣	전부 탈의
帽子	모자
ヘッドドレス	헤드드레스
トップス	상의
ボトムス	하의
ワンピース	원피스
水着	수영복
グローブ	글러브
シューズ	신발
ソックス	양말
ブラジャー	브래지어
パンツ	팬티
メガネ	안경
アイマスク	안대
背中	등
尻尾	꼬리
ヘアピン	머리핀
リボン	리본
耳	귀
鼻	코
チョーカー	초커
ネックレス	목걸이
乳首	유두
腕	팔
へそ	배꼽
足首	발목
クリトリス	클리토리스
めくれ・ずらし設定	스커트ㆍ팬티 설정
スカートめくれ・前	스커트 젖히기ㆍ앞
スカートめくれ・後ろ	스커트 젖히기ㆍ뒤
ずらし	팬티 비켜놓기
メイドアイテム	메이드 아이템
右手	오른손
アイテムなし	아이템 없음
刺繍針	자수용 바늘
箒	빗자루
お玉	국자
シャーペン	샤프
パフ	퍼프
口紅	립스틱
台所スポンジ	부엌용 스펀지
ダンス用ハタキ	댄스용 먼지떨이
モップ	대걸레
ラケット	테니스 라켓
床拭き雑巾	마루 닦는 걸레
本	책
包丁	식칼
ワインボトル	와인병
ワイングラス	와인잔
バイブ	바이브
ピンクバイブ	핑크바이브
太バイブ	거대바이브
アナルバイブ	애널바이브
左手	왼손
お皿	접시
刺繍	자수
畳んだタオル	개진수건
ダンス用はたき	댄스용 먼지떨이
ダンス用モップ	댄스용 대걸레
ダンス用雑巾	댄스용 걸레
味見用小皿	맛보기용 접시
上半身	상반신
鎖付き手枷１	사슬달린 수갑 1
鎖付き手枷２	사슬달린 수갑 2
鎖付き手枷３	사슬달린 수갑 3
後ろ手拘束具	뒤로하는 팔 구속구
磔台＆手枷足枷(赤)	Y자 구속대와 수갑(빨강)
磔台＆手枷足枷(黒)	Y자 구속대와 수갑(검정)
下半身	하반신
エステタオル	에스테틱용 타월
鎖付き足枷（鎖上）	사슬달린 족쇄(위로)
鎖付き足枷（鎖下）	사슬달린 족쇄(아래로)
前穴	앞의구멍
後穴	뒤의구멍
夜伽	밤시중
サロン:夜	살롱：밤
サロン:昼	살롱：낮
主人公部屋:昼	주인공 방：낮
主人公部屋:夜	주인공 방：밤
主人公部屋:消灯	주인공 방：소등
プレイルーム	플레이 룸
プール	수영장
SMルーム	SM 룸
地下室	지하실
ロッカールーム	로커 룸
トイレ	화장실
電車	전철
初代バスルーム	초대 욕실
プレイルーム2	플레이 룸 2
中庭	안뜰
大浴場	큰목욕탕
メイド部屋	메이드 방
花魁風ルーム	기녀풍 룸
ペントハウス	펜트하우스
屋外	옥외
エントランス	현관
執務室:昼	집무실：낮
執務室:夜	집무실：밤
執務室2:昼	집무실 2：낮
執務室2:夜	집무실 2：밤
ドレスルーム	드레스 룸
書斎:昼	서재：낮
書斎:夜	서재：밤
キッチン:昼	키친：낮
キッチン:夜	키친：밤
バー	바
四畳半部屋	단칸방
オブジェクト一覧	소품 선택
配置済みオブジェクト	배치된 소품
ドレッサー	화장대
ドレッサーの椅子	화장대용 의자
鍋	냄비
ノート	노트
サロンのソファ	살롱의 소파 1
サロンのソファ2	살롱의 소파 2
サロンのソファ3	살롱의 소파 3
サロンのソファ4	살롱의 소파 4
参考書（開）	참고서(펼침)
参考書A（閉）	참고서 A(덮힘)
参考書B（閉）	참고서 B(덮힘)
参考書C（閉）	참고서 C(덮힘)
参考書D（閉）	참고서 D(덮힘)
参考書E（閉）	참고서 E(덮힘)
参考書（開）	참고서(펼침)
参考書A（閉）	참고서 A(덮힘)
参考書B（閉）	참고서 B(덮힘)
参考書C（閉）	참고서 C(덮힘)
参考書D（閉）	참고서 D(덮힘)
参考書E（閉）	참고서 E(덮힘)
鉛筆（緑）	연필(초록)
鉛筆（黒）	연필(검정)
鉛筆（赤）	연필(빨강)
消しゴム（青）	지우개(파랑)
消しゴム（紫）	지우개(보라)
消しゴム（黄）	지우개(노랑)
ペン（桃）	샤프(분홍)
ペン（黒）	샤프(검정)
ペン（茶）	샤프(갈색)
ペン（緑）	샤프(초록)
スティック糊	딱풀
花とテーブル	꽃과 테이블
華道の生け花と机	꽃꽂이한 생화와 책상
華道の椅子	꽃꽂이용 의자
まな板	도마
洗濯物	세탁물
スケベ椅子	호색가 의자
マット	매트
ギロチン	길로틴
ギロチン土台	길로틴 토대
三角木馬	삼각목마
空のワイングラス	빈 와인잔
重ねたタオル	포개진 수건
洗濯カゴ	세탁 바구니
メイド部屋の椅子	메이드 방의 의자
ベンキ	좌변기
磔台の台座	형틀의 지지대 1
磔台の台座\r２	형틀의 지지대 2
調理台鍋付き	조리대와 냄비
拘束台	구속대
拘束椅子	구속의자
大型スクリーン	대형 스크린
ミニ門松	미니 카도마츠
ミニクリスマスツリー	미니 크리스마스 트리
ねい人形	네이인형
ネイ人形	네이 인형
ロボねい人形	로봇 네이인형
キーボード	키보드
モニター	모니터
マウス	마우스
OXカメラ	O X카메라
VVライト	V V라이트
レトロカメラ	레트로 카메라
(P)紙吹雪	(P)색종이
(P)キッチン用-水	(P)주방용 - 물
(P)キッチン用-泡	(P)주방용 - 비누방울
(P)キッチン用手元の泡	(P)주방용 - 손에 묻은 거품
(P)キッチン用-湯気	(P)주방용 - 수증기
(P)キッチン用-湯気(黒)	(P)주방용 - 연기
