主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
あんな綺麗な女性が、俺の専用のメイドに……？	저런 예쁜 여성이, 나의 전용의 메이드에게……?
『エンパイアクラブ』っていうのはね、まぁ、その、超高級なクラブみたいなものなんだ。	『엠파이어 클럽』라고 하는 것은 말야, 뭐, 그, 초고급 클럽같은 것이다.
こんな美味しい話、滅多にないと思うよ。	이런 맛있는 이야기, 좀처럼 없다고 생각한다.
は、はい、そうですね……	응, 네, 그렇네요……
正直、ありえない話だと思う。	정직, 있을 수 없는 이야기라고 생각한다.
けれど、別に叔父は親戚の中でも悪評がある訳でもない。むしろ気前のいいお金持ちだと評判である。	하지만, 별로 숙부는 친척중에서도 악평이 있는 것도 아니다. 오히려 기질의 좋은 부자라고 평판이다.
うーん……	응……
しかし、なんだろう、嫌な予感がする。	그러나, 무엇일까, 싫은 예감이 한다.
いやぁ、メイドに囲まれるオーナーとしての日々は最高だったなぁ。	아니, 메이드에게 둘러싸이는 오너로서의 나날은 최고였다.
気に入ったメイドを専属メイドにして過ごした蜜月の日々は忘れられないよ。	마음에 든 메이드를 전속 메이드로 하며 보낸 밀월의 나날은 잊을 수 없어.
蜜月の日々、ですか。	밀월의 나날입, 니까.
『エンパイアクラブ』『専属メイド』	『엠파이어 클럽』 『전속 메이드』
聞いた事も無いキーワードに、好奇心もくすぐられている。	(들)물은 일도 없는 키워드에, 호기심도 간지러워지고 있다.
そうですか……	그렇습니까……
このまま首を横に振って、いつもの生活に戻るのは簡単かもしれない。	이대로 목을 옆에 흔들어, 평소의 생활하러 돌아오는 것은 간단할지도 모른다.
平和で平穏で、それと引き換えに何の刺激も無い繰り返しの毎日に戻るだけ。	평화로워 평온해, 그것과 교환에 어떤 자극도 없는 반복의 매일에 돌아올 뿐.
そう考える俺に、叔父の声はやけに響く。	그렇게 생각하는 나에게, 숙부의 소리는 매우 울린다.
俺は再度、叔父の専属メイドを見てしまう。	나는 재차, 숙부의 전속 메이드를 봐 버린다.
ふわり、と素敵に微笑まれる。	깨어, 라고 멋지게 미소지어진다.
俺にも、あんな素敵なメイドが……？	나에게도, 저런 멋진 메이드가……?
……やります！	…… 합니다!
俺は思わず、首を縦に振ってしまった。	나는 무심코, 목을 세로에 흔들어 버렸다.
よくぞ決断してくれた！　じゃあ、ここにサインして――	잘 결단해 주었다! 그러면, 여기에 싸인해―
手続きが進んでいく。	수속이 나간다.
自分でも自分の決断に驚いていたが、不思議と落ち着いている。	스스로도 자신의 결단에 놀라고 있었지만, 이상하게 침착하고 있다.
二度三度サインをさせられ、叔父は俺にカードを差し出す。	여러 번 싸인을 하게 해 숙부는 나에게 카드를 내민다.
これは『マスターカード』だ。これは『エンパイアクラブ』のオーナーの証だから、無くさないようにね。	이것은 『마스터 카드』다. 이것은 『엠파이어 클럽』의 오너의 증거이니까, 없고 없도록요.
黒光りするカードを受け取る。見た事も無いようなデザインをしている。	검은 윤기 하는 카드를 받는다. 본 일도 없는 것 같은 디자인을 하고 있다.
心なしかずっしりくる『マスターカード』を受け取って、俺は心が昂ぶってくるのを感じる。	마음 탓인지 묵직 오는 『마스터 카드』를 받아, 나는 마음이 고조되어 오는 것을 느낀다.
オーナー……俺がオーナーか。	오너…… 내가 오너인가.
……それじゃ、私達はここらへんで失礼しようかな？	…… 그러면, 우리들은 이 근처에서 실례할까나?
えっ？　叔父さん、俺全然何も分からないですけど……	어? 숙부, 나 전혀 아무것도 모르지만……
これから新婚旅行でね、飛行機の時間が迫っているんだ……この後はメイド秘書に任せてあるから、彼女は優秀だぞ、じゃあね！	지금부터 신혼 여행으로 말야, 비행기의 시간이 다가오고 있다…… 이 뒤는 메이드 비서에게 맡겨 있기 때문에, 그녀는 우수하다, 그럼!
え？　誰ですかメイド秘書って、ちょっと、叔父さーん！	네? 누구입니까 메이드 비서는, 조금, 숙부!
叔父さんはどこか逃げるように専属メイドを連れ立って部屋から出て行ってしまう。	숙부는 어딘가 도망치도록(듯이) 전속 메이드를 같이 가 방에서 나가 버린다.
ど、どういうことなんだ……？	어떻게 말하는 일이다……?
まず何をしていいかもさっぱり分からない。	우선 무엇을 해도 좋을지도 전혀 모른다.
あまりにも説明が無さ過ぎて、判断する事もできない。	너무 설명이 너무 없어, 판단하는 일도 할 수 없다.
途方に暮れる俺の耳に、ノックの音が聞こえた。	어찌할 바를 몰라하는 나의 귀에, 노크의 소리가 들렸다.
失礼します。	실례합니다.
ど、どうぞ！	아무쪼록!
凛とした声が聞こえ、俺は思わず返事をしてしまう。	늠름한 목소리가 들려, 나는 무심코 대답을 해 버린다.
初めまして、ご主人様。これから宜しくお願い致します。	처음 뵙겠습니다, 주인님. 지금부터 잘 부탁드립니다.
以後しばらくの間、ご主人様に色々な事を教えさせて頂きますね。	이후 당분간의 사이, 주인님에 다양한 일을 가르치도록 해 받네요.
何も分からない俺は、雛鳥のようにメイド秘書を見てしまう。	아무것도 모르는 나는, 아기새와 같이 메이드 비서를 봐 버린다.
良かった……宜しくお願いします。	좋았다…… 잘 부탁합니다.
あら、ご主人様。メイドに対してそんな謙虚ではいけませんよ。威厳を持って接して下さいな。	어머나, 주인님. 메이드에 대해서 그렇게 겸허한 것은 안됩니다. 위엄을 가지고 접해 주세요.
主従関係……ですよ。分かっていただけましたか？	주종 관계…… 예요. 알아 받을 수 있었습니까?
微笑みを浮かべてくれるメイド秘書。綺麗な外見、流麗な声。	미소를 띄워 주는 메이드 비서. 예쁜 외관, 유려한 소리.
……うん、そうさせてもらうよ。	…… 응, 그렇게 시켜 받는다.
俺はちょっと混乱していた心を落ち着かせて、メイド秘書と向かい合う。	나는 조금 혼란하고 있던 마음을 침착하게 해, 메이드 비서와 서로 마주 본다.
ご主人様、まず話しておくべきお話があります、聞いていただけますか？	주인님, 우선 이야기해 두어야 할 이야기가 있습니다, (들)물어 받을 수 있습니까?
あ、うん。俺から聞きたい事はいくらでもあるけど……とりあえず話を聞くほうが先か。	아, 응. 나부터 (듣)묻고 싶은 일은 얼마든지 있지만…… 우선 이야기를 듣는 편이 앞인가.
さて、先代のオーナーから何処まで聞いているのかは分かりませんが。	그런데, 선대의 오너로부터 어디까지 (듣)묻고 있는지는 모릅니다만.
ちょっと困った感じで、メイド秘書は俺に話す。	조금 곤란한 느낌으로, 메이드 비서는 나에게 이야기한다.
先代のオーナーは、その……お気に入りのメイドに入れ込み過ぎて、経営のほうを疎かにしてしまいました。	선대의 오너는, 그…… 마음에 드는 메이드에게 너무 넣어, 경영 쪽을 소홀히 해 버렸습니다.
……その影響で、今、このクラブは経営が厳しく、迅速に再建しなければいけません。	…… 그 영향으로, 지금, 이 클럽은 경영이 어렵고, 신속히 재건하지 않으면 안됩니다.
包み隠さず言ってしまうのならば、当エンパイアクラブは莫大な借金があるのです。	숨기지 않고 말해 버린다면, 당엠파이어 클럽은 막대한 빚이 있습니다.
…………聞いてない、な。	…………(듣)묻지 않은,.
急転直下とは、まさにこの事。	급전 직하란, 확실히 이 일.
何か裏があるとは思っていたけれど、こういう事か。	뭔가 꿍꿍이가 있다고는 생각했지만 이런 건가.
……はぁ、あの方は相変わらずいい加減なのですから。その事も伝えていなかったのですね。	…… 하아, 그 분은 여전히 허술하시다니까요. 그 일도 전하지 않았군요.
おそらくご主人様は巻き込まれてしまった形なのでしょうが、その『マスターカード』を持っている以上、誰かに任せる事はできません。	아마 주인님은 휘말린 형태인 것이겠지만, 그 『마스터 카드』를 가지고 있는 이상 이 일을 누군가에게 맡길 수는 없습니다.
ご主人様は、このエンパイアクラブの再建させなければなりません……本当に、申し訳無い事なのですが。	주인님은 이 엠파이어 클럽을 재건시키지 않으면 안됩니다…… . 정말 죄송한 일이지만요.
あ、いや、君が謝る事じゃないよ。	아, 아냐. 네가 사과할 일이 아니야.
上手い話には裏がある。よくある話。	듣기 좋은 이야기 뒤에는 뭔가가 있다. 자주 있는 이야기.
……まぁ、どうしようもないなら、やるしかない。	…… 뭐, 어쩔 수 없다면 할 수 밖에 없지.
はぁ……しょうがないな、俺、これからどうしたらいいのかな。	하아…… 어쩔 수 없구나. 난 이제부터 어떻게 하면 좋으려나.
その意気です、ご主人様。まずはエンパイアクラブがどういった場所なのか、ご説明させて頂きますね。	그 기세입니다, 주인님. 우선은 엠파이어 클럽이 어떤 곳인지 설명드리겠습니다.
エンパイアクラブは、上流階級の紳士淑女、つまりVIPの為の完全会員制のクラブです。	엠파이어 클럽은 상류계급의 신사 숙녀, 즉 VIP를 위한 완전 회원제 클럽입니다.
いずれのVIPの方も、身元がきちんと保証されております。	어느 VIP 분도 신원이 제대로 보장되고 있습니다.
エンパイアクラブは、そのVIPの方々がメイドと呼ばれる女性と大人の遊びをする場所なのです。	엠파이어 클럽은 그 VIP 분들이 메이드로 불리는 여성과 어른이 놀이를 하는 장소인 것입니다.
大人の遊び？	어른의 놀이?
お酒を飲み、会話を楽しみ……お客様が望むのならば、メイドと共に『夜伽』というお客様との、その場限りの恋愛……とでもいいましょうか。そういったものを楽しんでいただきます。	술을 마시거나 대화를 하고…… 손님이 원한다면 메이드와 함께 『밤시중』이라고 하는 하룻밤의 일회성 사랑…… 그런 것들을 즐깁니다.
ふふ、あまり回りくどい言い方をするべきではありませんね、失礼致しました。『夜伽』とはエッチの事です。	후후, 너무 장황하게 말하면 안되겠군요. 실례했습니다. 『밤시중』이란 섹스입니다.
噛み砕いた言い方をすれば、エンパイアクラブはメイドとエッチができる……そういったクラブになりますね。	단순하게 말하자면 엠파이어 클럽은 메이드와 섹스를 할 수 있는…… 그런 클럽이 되네요.
そ、そうなんだ……	그, 그렇구나……
何を言われても驚かないつもりでいたけれど、やっぱり驚愕を隠すことができない。	무슨 말을 들어도 놀라지 않을 생각이었지만 역시 경악을 숨길 수가 없다.
つまり、その……このクラブは、性的接待を行わせるクラブという訳だ。	즉…… 이 클럽은 성접대를 하는 클럽이라는 것이다.
『夜伽』には勿論、技術や作法があります。そういったものの教育は、男性のご主人様が教育して頂くのが、当クラブの伝統となっております。	『밤시중』에는 물론 기술이나 예의 범절이 있습니다. 그런 것들의 교육은 남성의 주인님이 교육하는 것이 저희 클럽의 전통으로 되어 있습니다.
俺が夜伽の教育？	내가 밤시중의 교육?
はい、まず新しいメイドを雇用し、そして『夜伽』の技術や作法を教え、一流のメイドに仕立て上げる……それがご主人様の役割です。	네, 우선 새로운 메이드를 고용하고 『밤시중』의 기술이나 예의 범절을 가르쳐 일류 메이드로 만들어 내는…… 그것이 주인님의 역할입니다.
但し、クラブの状況が状況です。悠長に時間をかけるわけにはいきません。	단, 클럽의 상황이 상황입니다. 느긋하게 시간을 들일 수는 없습니다.
そ、そんなに時間が無いの？	그, 그렇게 시간이 없는거야?
俺の問いかけに、メイド秘書は申し訳無さそうに頷く。	나의 질문에 메이드 비서는 미안한 듯 고개를 끄덕인다.
無理を承知で言っています。ましてやご主人様は右も左も分からない状態です。	실례를 무릅쓰고 말씀드립니다. 주인님은 아무것도 모르시는 상태입니다.
ですが、私が誠心誠意手助けさせて頂きます……どうか、このエンパイアクラブの再建にご協力頂けないでしょうか？	그렇지만 제가 성심성의껏 도와드리겠습니다…… 부디 이 엠파이어 클럽의 재건에 협력해 주실 수 없을까요?
いや……ご協力も何も俺はすでにこのエンパイアクラブのオーナーなんだろう？	아니…… 협력이 아니고 나는 벌써 이 엠파이어 클럽의 오너인 거잖아?
はい、そうですね。	네, 그렇네요.
聞いた事の無い言葉達、何よりもメイドという存在。	들어본 적도 없는 단어들, 무엇보다도 메이드라고 하는 존재.
今までの平穏な生活には無かった、刺激的なもの。	지금까지의 평온한 생활에는 없었던 자극적인 것.
確かに、莫大な借金とか、色々問題は山積み過ぎる。	확실히 막대한 빚이라든지 여러가지 문제는 산너머 산이다.
けれど……	하지만……
一流のメイドを育てる、エンパイアクラブの再建……か。	일류 메이드를 키우고 엠파이어 클럽의 재건…… 인가.
できるかどうか分からないけど、できるだけの事はやってみるよ。	할 수 있을지 어떨지는 모르겠지만, 할 수 있는 일은 해볼게.
俺は勇気を出して一歩踏み出し、メイド秘書にそう告げていた。	나는 용기를 내 한 걸음 내딛는다. 메이드 비서에게 그렇게 말하고 있었다.
素晴らしいお覚悟です、ご主人様。	훌륭한 각오입니다, 주인님.
上流階級、VIP……煌びやかな単語の割には、随分とギリギリな状況。	상류 계급, VIP…… 눈부신 단어에 비하면 상당히 빠듯한 상황.
俺のエンパイアクラブでの奮戦は、今ここから始まるのだった。	나의 엠파이어 클럽에서의 분전은 지금 여기서부터 시작되는 것이었다.
……さて、じゃあ何から始めようかな？	…… 자, 그럼 뭐부터 시작해 볼까?
俺はここで経営の管理や、メイドのスケジュールを組むみたいだな。	나는 여기서 경영의 관리와 메이드의 스케줄을 짜는 것 같다.
さて、まず何よりもご主人様が最初にする事はメイドを雇う事です。	그럼 우선, 주인님이 무엇보다도 먼저 해야 하는 일은 메이드를 고용하는 것입니다.
こちらの端末で、ご主人様が思い浮かべるメイドをお探し下さい。	이쪽의 단말기로 주인님이 원하시는 메이드를 찾아 주세요.
ああ、分かったよ。	아.. 알았어.
俺は端末を起動する。	나는 단말기를 기동시킨다.
すると、『ORDER　MAID』という文字が表示された。	그러자, 『ORDER MAID』라고 하는 글자가 표시되었다.
さて、俺の理想のメイドは……	그럼, 내 이상의 메이드는……
お疲れ様です、ご主人様。メイドが到着するまで、今しばらくお待ち下さい。	수고하셨습니다, 주인님. 메이드가 도착할 때까지 잠시 기다려 주세요.
ご主人様、メイドにはご満足頂けたでしょうか？	주인님, 메이드에게는 만족하셨습니까?
ああ！　凄いね。俺が望んだとおりのメイドだったよ。	아아! 끝내주는데. 내가 바랬던 그대로의 메이드였어.
ご満足頂けたようで何よりです……さて。	만족을 드린 것 같아 다행입니다…… 그런데.
メイド秘書は、俺に説明を始める。	메이드 비서는 나에게 설명을 시작한다.
最初のうちはメイド秘書がエンパイアクラブの事を教えてくれたが、メイド秘書はその仕事を新しく来るメイドに引き継がせるらしい。	처음에는 메이드 비서가 엠파이어 클럽의 일을 가르쳐 주었지만, 메이드 비서는 그 일을 새롭게 오는 메이드에게 물려준다는 것 같다.
これからメイド秘書は、裏方としてサポートに回ってくれる……との事だ。	지금부터 메이드 비서는 뒤에서 서포트를 해준다…… 라는 것이다.
少しの寂しさを覚えたが、それよりも俺は、先程会ったメイドとの出会いを期待しているのだった。	조금 서운했지만, 그것보다 나는 아까 만난 메이드와의 만남을 기대하고 있었던 것이다.
メイド秘書は説明を続ける。	메이드 비서는 설명을 계속한다.
最初の育成期間は、裁縫、料理、華道……そういった基本的なスケジュールをこなして、メイドの素質を磨いていく事がお勧めらしい。	최초의 육성 기간은 재봉, 요리, 화도…… 그런 기본적인 스케줄을 해내고, 메이드의 소질을 닦아 나가는 것을 추천한다고 한다.
それぞれ、可憐、気品、魅惑が大きく伸びる。メイドの方向性決めてきちんと育成していくのがポイントだな。	각각 가련, 기품, 매혹이 크게 성장한다. 메이드의 방향성을 결정해서 제대로 육성해 나가는 것이 포인트다.
……よし！　頑張っていくぞ！	…… 좋아! 노력해 보겠어!
ご主人様、お疲れ様でした。	주인님, 수고하셨습니다.
確か、今日は……	확실히 오늘은……
最初のメイドがご主人様の元へ来てから２０日が経過しました。これで夜伽の躾けも一段落という事ですね。	첫 메이드가 주인님의 곁에 온지 20일이 지났습니다. 이제 밤시중을 가르치는 것도 일단락 되었네요.
ええ、勿論です。ご主人様の育成によって、彼女はエンパイアクラブで働ける立派なメイドへと育ちました。	예, 물론입니다. 주인님의 육성에 의해, 그녀는 엠파이어 클럽에서 일할 수 있는 훌륭한 메이드로 자랐습니다.
……そうか！　良かった。よし、これからなんだな。	……그런가!　잘 됐네. 좋아, 지금부터야.
早速で申し訳無いのですが、今の当クラブの経営状態はご主人様もご存知の通りかと思います。	먼저 죄송하단 말씀을 드리며, 지금 이 클럽의 경영상태는 주인님께서도 잘 아시시라 생각합니다.
まぁ、火の車って感じだよね。	뭐, 궁핍하다는 느낌이다만.
すぐに彼女にはお客様の相手をさせなければならない状況となっております。	얼마 안 되어 그녀에게는 손님의 상대를 시켜야 하는 상황이 되고 있습니다.
『Ｆｒｅｅメイド』として、お客様達に奉仕をしなければならない状況です。	『프리 메이드』로서 손님들에게 봉사를 해야 하는 상황입니다.
『Ｆｒｅｅメイド』？	『Ｆｒｅｅメイド』?
『Ｆｒｅｅメイド』とは、お客様とも夜伽をするメイドの事です。夜伽をする対象が、ご主人様だけではないメイドの事を指します。	『프리 메이드』는, 손님과도 밤시중을 하는 메이드의 일입니다. 밤시중을 하는 대상이, 주인님만이 아닌 메이드의 일임을 지칭합니다.
それと対になるのが『専属メイド』。こちらは、ご主人様のみと夜伽をするメイドですね。	그것과 반대가 되는 것이 『전속 메이드』. 이쪽은, 주인님과만 밤시중을 하는 메이드지요.
本来ならば、ご主人様が初めて躾けたメイドは特別であり、ご主人様の『専属メイド』という立場が伝統となります。	본래라면, 주인님이 처음으로 예의범절을 가르친 메이드는 주인님의 특별한 『전속 메이드』가 되는 것이 전통입니다.
ですが、当クラブの状況では、彼女を『専属メイド』として扱う余裕がありません。	그렇지만, 당 클럽의 상황에서는, 그녀를 『전속 메이드』로서 취급할 여유가 없습니다.
……そ、そうなんですか。	…… 그, 그렇습니까.
ご主人様。あの……お、お客様と夜伽をする事に抵抗はありますが……それって、わたしのワガママ……ですよね。	주인님. 저…… 소, 손님과 밤시중을 하는 일에 저항은 있습니다만…… 그건 저의 제멋대로…… 네요.
このクラブの為に、わたしが出来る事があるのなら……わたしは何だって耐えられると思います。	이 클럽을 위해 제가 할 수 있는 일이 있다면…… 저는 뭐든지 견딜 수 있다고 생각해요.
様々な感情が渦巻いているのに、それを堪えているのだろう。	여러가지 감정이 소용돌이치고 있는데, 그것을 견디고 있는 것이다.
……どうしようか。	……어떻게 할까.
俺は意を決して、メイド長にそう聞いていた。	나는 결심을 하고 메이드장에게 그렇게 물었다.
メイド長は少しだけ考え、一つ息をつく。	메이드장은 잠시 생각하고는 한숨을 내쉰다.
……１つだけ方法が御座います。	……딱 1개지만, 방법이 있습니다.
あるんだね。	있는 거구나.
ご主人様のお持ちのもので、１つだけ大きな価値を持っているモノが御座います。	주인님이 가지고 계신 것으로, 1개지만 큰 가치를 가지고 있는 물건이 있습니다.
それは、ご主人様から先代から受け取った、そちらの『マスターカード』になります。	그것은, 주인님이 선대로부터 받은, 그 쪽의 『마스터 카드』가 그것입니다.
このカードか。	이 카드인가.
そちらはエンパイアクラブのオーナーである証。ただ資産があるだけでは決して手に入れる事ができない、凄く価値のあるカード。	그것은 엠파이어 클럽의 오너의 증표. 비록 자산이 많더라도 결코 손에 넣을 수 없는, 굉장히 가치가 있는 카드.
そちらを担保にして、エンパイアクラブを運営する資金を借りる事が可能になります。	그것을 담보로 해서, 엠파이어 클럽을 운영하는 자금을 빌리는 것이 가능합니다.
しかしながら、借りた資金は、一定期間内に返さなければいけません。	그렇지만 빌린 자금은 일정 기간 내에 갚지 않으면 안됩니다.
そうしないと、当然ながら担保は取られ……エンパイアクラブの所有権は他の方へと移っています。	그렇지 않으면 당연히 담보를 빼았겨…… 엠파이어 클럽의 소유권은 다른 사람에게 넘어가게 됩니다.
なるほどな。	그런거구나.
その場合はご主人様に専属メイドを所持する権利はありませんので、専属メイドも私も……別の方のもとへと行く事になるでしょう。	그 경우에는 주인님에겐 전속 메이드를 소지할 권리가 없으므로 전속 메이드도 저도…… 다른 분의 아래로 가게 되겠죠.
なっ……	뭐……
繰り返しになりますが、資金がマイナスからのスタートになってしまいます。	다시한번 말씀드리지만 자금이 마이너스인 상태에서 시작하게 됩니다.
それに加え、一定期間以内に返さなければ、全て終わりになってしまいます。	아울러 일정 기간 안에 빚을 갚지 않으면 모든 게 끝나 버립니다.
メイド長は、自分の事なのに努めて冷静に俺に聞いてくる。	메이드장은 자신의 일인데도 가능한 한 냉정하게 말해온다.
メイドの鏡である彼女は、自身の行方よりも俺の決断を尊重してくれるのだろう。	메이드의 귀감이 되는 그녀는 자신의 행방보다 나의 결정을 존중해주는 것이겠지.
さて、ご主人様、如何致しましょうか？　私はご主人様が決めた事なら、それに従うまでで御座います。	그래서, 주인님, 어떻게 하실 건가요?　저는 주인님이 결정하신 일이라면, 따를 준비가 되어 있습니다.
ご、ご主人様っ！　あの、そのっ……わたし一人が我慢する事で解決する事なら、そんなに無理をする事なんてないです。	주,주인님! 저, 그…… 저 한사람이 참는 일로 해결할 일이라면 그렇게 무리를 하지않아도 됩니다.
その、ご主人様がこれから頑張って、エンパイアクラブを大きくしていく事だってできるはずなのに……わたしひとりのせいで、それが無くなっちゃうなんて、イヤですよう。	그, 주인님께서 이제부터 힘내서 엠파이어 클럽을 성장시키는게 가능할 텐데…… 저 하나 때문에 그것이 없어져 버리다니, 그런건 싫어요.
俺は少しだけ考え――考える必要が無い事に気付く。	나는 약간 생각하고--생각할 필요가 없는 일임을 알아차린다.
メイド長、資金を借りる話はメイド長に任せていいのかな？	메이드장, 자금을 빌리는 이야기는 메이드장에게 맡겨도 될까?
はい。私にお任せ下さい。	예, 제게 맡겨주세요.
じゃあ、資金を借りてくれ。頼む。	그럼, 자금을 빌려 줘. 부탁한다.
ご主人様、なんで……？	주인님, 어째서……?
ただ単に、資金を借りて、それを返せばいいだけの事をそこまで難しく考えなくていいんだよ。	순전히 돈을 빌려서, 그것을 돌려주면 좋을 정도의 일을 거기까지 어렵게 생각하지 않아도 되는 걸.
だって、もしお金を返せなかったら……	그치만 만약 돈을 못 갚으면……
俺はただ単に、それが嫌なだけ。だったら頑張るだけだよ。	나는 다만 단지, 그것이 싫을 뿐. 그렇다면 노력할 뿐이야.
メイドを泣かせるご主人様なんて、ご主人様じゃない。	메이드를 울리는 주인님이라니, 주인님 실격이야.
ご主人様……	주인님……
別に何も難しい事は無い。	딱히 어려운 일은 없다.
誰だって、目の前で女の子が泣きそうになっていたらそうするだろう。	누구라도, 눈앞에서 여자 아이가 울 것 같게 되어 있으면 그렇게 할 것이다.
俺はこの選択に、一つの後悔も無い。	나는 이 선택에, 한 점의 후회도 없다.
ふふ、マイナスからのスタートにはなりますが、これからが本番……という事ですね。ご主人様。	후후, 마이너스로부터의 스타트로는 됩니다만, 이제 시작……이라는 이야기네요. 주인님.
は、はいっ……えっと……	으, 응…… 음……
こんな事、言っちゃいけないと思うのですけど……本当はとっても、とっても……嬉しいです、ご主人様。	이런 거 말하면 안 된다고 생각하지만요…… 사실은 너무, 너무…… 기뻐요, 주인님.
これから宜しくお願いしますねっ、ご主人様っ！	지금부터 잘 부탁드릴게요, 주인님!
はい、共に頑張りましょう、ご主人様。	네, 모두 노력합시다, 주인님.
長いような、短いような……そんなプロローグがようやく終わる。	긴 것 같은, 짧은 것 같은……그런 프롤로그가 간신히 끝난다.
これから忙しくなるぞ！　このエンパイアクラブを、絶対立派なものにするからな！	지금부터 바빠지겠어! 이 엠파이어 클럽을 꼭 훌륭한 것으로 만들 거니까!
おーっ！	오옷!
まずは借金返済、ですね。	우선은 빚을 갚는 게, 우선이겠지.
お、おう！	오, 오우!
わざわざ危ない橋を渡る必要は無い。	일부러 위험을 무릅쓸 필요는 없다.
はい……わたし、大丈夫ですから、気にしないで下さいね。	네…… 저는 괜찮으니까 신경쓰지 마세요.
当面の資金さえ工面できれば、ご主人様の手腕であればエンパイアクラブの経営を軌道に乗せる事も可能でしょう。	당면의 자금만 마련할 수 있으면, 주인님의 수완이면 엠파이어 클럽의 경영을 궤도에 싣는 일도 가능하겠지요.
そうか、なら問題無さそうだな。	그런가, 그럼 문제 없겠네.
……本当に、気にしないでくれなくても構いませんから。	…… 정말 신경써주지 않아도 괜찮으니까.
ご主人様、クラブの経営が安定すれば、Ｆｒｅｅメイドは専属メイドに変更する事も可能です。	주인님, 클럽의 경영이 안정되면 Free 메이드를 전속 메이드로 변경하는 것도 가능합니다.
彼女の処遇を変更する事もできますので、どうかご一考下さい。	그녀의 처우를 변경하는 일도 가능하니까 부디 잘 생각해 주세요.
ああ、分かった。	아아, 알았어.
……色々あったが、ようやくここから本格的なエンパイアクラブでの日々が始まるのだ。	……여러가지 있었지만, 간신히 여기로부터 본격적인 엠파이어 클럽에서의 날마다가 시작된다.
夜伽、ダンス、メイド……刺激的な事が待っている。俺はそれらが楽しみで仕方が無かった。	밤시중, 댄스, 메이드……자극적인 일이 기다리고 있다. 나는 그것들이 기다려져서 어쩔 수 없었다.
何か用事かな？	무슨 일이지?
メイド秘書によると、育成しているメイドの夜伽の躾けが一段落したという事らしい。	메이드 비서에 의하면, 육성하고 있는 메이드의 밤시중 예절을 가르치는 것이 일단락되었다는 일인 것 같았다.
現状のエンパイアクラブは、メイドに仕事をさせたり、俺とメイドが夜伽をしたりしているのみ。	현 상태의 엠파이어 클럽은, 메이드에게 일을 시키거나, 저와 메이드가 밤시중을 하고 있을 뿐입니다.
本格的な経営に向けて、準備を進めている段階である。	본격적인 경영을 향해, 준비를 진행시키고 있는 단계이다.
……メイド秘書、この前より借金は増えてしまっているんじゃないか？	……메이드 비서, 예전부터 빚은 계속 늘어나고 있지 않았던가?
メイド秘書は頷き、言葉を続ける。	메이드 비서는 수긍하고, 말을 계속한다.
エンパイアクラブを維持する為にも、諸々の資金が必要。	엠파이어 클럽을 유지하기 위해도, 여러가지 자금이 필요.
叔父さんからの引継ぎ、メイドの育成……その間の準備期間に随分資金を使ってしまった。	숙부로부터 이어받고, 메이드의 육성……그 사이의 준비 기간에 상당한 자금을 사용해 버렸다.
メイド秘書の報告によると、お客様を迎え入れる為の準備も現状の資金ではままならないようだった。	메이드 비서의 보고에 의하면, 손님을 맞아들이기 위한 준비도 현 상태의 자금으로는 마음대로 되지 않는 것 같았다.
